,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Zaramay: Bzrp Music Sessions, Vol. 31",Bizarrap,27267,https://open.spotify.com/track/2PKb7tFxkwMoS7Y6muOTAR
57,Amarillo,"J Balvin",26597,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
58,Morado,"J Balvin",26519,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
59,Confía,Sech,26236,https://open.spotify.com/track/5kbps8unnGH4raN5WduZuq
60,"Dance Monkey","Tones And I",26225,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
61,Fantasias,"Rauw Alejandro",25554,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
62,"Como Llora",Juanfran,25510,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
63,"Roses - Imanbek Remix","SAINt JHN",25403,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
64,"La Cama - Remix",Lunay,24980,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
65,TBT,"Sebastian Yatra",24899,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
66,ADMV,Maluma,24772,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
67,"Cómo estás","Ke Personajes",24484,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
68,"Sigues Con El","Dímelo Flow",24028,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
69,"Dream Girl - Remix","Ir Sais",23815,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
70,"Don't Start Now","Dua Lipa",23065,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
71,"La Pared 360","Lenny Tavárez",22842,https://open.spotify.com/track/2w8SKQCnT2YQK1qCqKl2uW
72,Mejor,Dalex,22499,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB
73,"Dónde Estás",KHEA,22305,https://open.spotify.com/track/16DNJ8y6k97DxuMyV49W7V
74,"Flasheaste Amor",Agapornis,22151,https://open.spotify.com/track/2ACgvo2Kx4LgWqQ2amvM5C
75,"La Jeepeta (Remix) [DJ Alan & Jona Mix Version]","DJ Alan Gomez",21918,https://open.spotify.com/track/4h7RYyJA1jVaURg3JO7T2y
76,"Sigues Con El - Remix",Arcangel,21846,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
77,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",21529,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
78,"El Efecto","Rauw Alejandro",21237,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
79,"Bajo La Mesa",Morat,21158,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH
80,Ignorantes,"Bad Bunny",21081,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
81,"Malibu de Coco",Oscu,21017,https://open.spotify.com/track/0I1eXIH6Y4pjr3GmDrfYhl
82,"No Te Vayas",Yandel,20801,https://open.spotify.com/track/3nowY0ZuWMuAmmAu1plEBP
83,"Dime Cuantas Veces (Remix) [feat. Justin Quiles]","Micro TDH",20753,https://open.spotify.com/track/4MWb6mltydQn84NrTm7Gpl
84,Loco,Beéle,20536,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
85,"¿Qué Ha Pasao'?","Abraham Mateo",20415,https://open.spotify.com/track/5fxnoiUBJ5DMAQEYb2uFOr
86,China,"Anuel AA",20298,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
87,Par-Tusa,"El Dipy",20248,https://open.spotify.com/track/7iZSr3NiHlqJGAJmlfd3Ru
88,High,"Maria Becerra",19901,https://open.spotify.com/track/5TmCIYJkPI8EEhpA6nFuoB
89,"La Difícil","Bad Bunny",19856,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
90,"Rain II",Trueno,19825,https://open.spotify.com/track/7k1lxZqsXIVDnL1BFNaGKk
91,"La Forma en Que Me Miras","Super Yei",19555,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
92,"La Difícil",Camilo,19310,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA
93,"Break My Heart","Dua Lipa",19021,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
94,Fresa,TINI,18746,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
95,sOlA,Montano,18614,https://open.spotify.com/track/3JXhH0oMikYjoz9qDmpiWr
96,"Me Gusta","Ciro y los Persas",18420,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
