,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Someone You Loved","Lewis Capaldi",339640,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Goosebumps - Remix","Travis Scott",338642,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
56,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",338348,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
57,"Blueberry Faygo","Lil Mosey",335849,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
58,Body,"Megan Thee Stallion",334828,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
59,"Sand In My Boots","Morgan Wallen",333827,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
60,"ROLLIN N CONTROLLIN FREESTYLE","DUSTY LOCANE",333343,https://open.spotify.com/track/1xqRKo0SDFDO5Jy8yEVD0X
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",330168,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,Heather,"Conan Gray",329739,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
63,"Better Together","Luke Combs",329243,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
64,"Selfish Love (with Selena Gomez)","DJ Snake",327735,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
65,Robbery,"Juice WRLD",327425,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
66,"Daddy Issues","The Neighbourhood",321659,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
67,"No Role Modelz","J. Cole",314661,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
68,Arcade,"Duncan Laurence",312752,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
69,Hayloft,"Mother Mother",310421,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
70,"The Box","Roddy Ricch",306995,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
71,"LA NOCHE DE ANOCHE","Bad Bunny",303240,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
72,"Tyler Herro","Jack Harlow",300144,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
73,"Before You Go","Lewis Capaldi",294926,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
74,"Life Is Good (feat. Drake)",Future,293654,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
75,"Dreams - 2004 Remaster","Fleetwood Mac",293147,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
76,"Somebody’s Problem","Morgan Wallen",292255,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
77,willow,"Taylor Swift",291548,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
78,"SLOW DANCING IN THE DARK",Joji,289022,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
79,"Electric Love",BØRNS,288931,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
80,"Way Out (feat. Big Sean)","Jack Harlow",288263,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
81,"Whiskey Glasses","Morgan Wallen",285404,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
82,"Jocelyn Flores",XXXTENTACION,284668,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
83,"Bad Boy (with Young Thug)","Juice WRLD",284295,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
84,Runnin,"21 Savage",284201,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
85,"Watermelon Sugar","Harry Styles",283533,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
86,"The Business",Tiësto,282415,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
87,"Holy (feat. Chance The Rapper)","Justin Bieber",278386,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
88,"death bed (coffee for your head)",Powfu,277916,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
89,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",276355,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
90,"Big Gangsta","Kevin Gates",275066,https://open.spotify.com/track/2HYvkdq6lpFXkVz9Tfqi8r
91,"Put Your Records On","Ritt Momney",273973,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
92,goosebumps,"Travis Scott",272406,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
93,Batman,"LPB Poody",271616,https://open.spotify.com/track/1xMvdOFQaql3EBkHmuh2TK
