,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,1483503,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"Ay, DiOs Mío!","KAROL G",647429,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
3,"La Curiosidad","Jay Wheeler",616512,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,"Tattoo - Remix with Camilo","Rauw Alejandro",591568,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,"Parce (feat. Justin Quiles)",Maluma,520905,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
6,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,520155,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
7,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",500754,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
8,"La Jeepeta - Remix","Nio Garcia",489435,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
9,Relación,Sech,438033,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
10,Caramelo,Ozuna,399555,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
11,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,382162,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
12,Rojo,"J Balvin",372371,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
13,Anaranjado,"Jowell & Randy",361181,https://open.spotify.com/track/0cRgJuB6TRtb5RZ2HkjSLh
14,"Madrid (feat. Myke Towers)",Maluma,358875,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
15,Azul,"J Balvin",334224,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
16,"Quiéreme Mientras Se Pueda","Manuel Turizo",327644,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
17,Favorito,Camilo,318953,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
18,ADMV,Maluma,311675,https://open.spotify.com/track/4j3iq13kHs5PB94jdTp3Y3
19,"Djadja (feat. Maluma) - Remix","Aya Nakamura",309118,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
20,"La Oficial - Remix","Andy Rivera",297998,https://open.spotify.com/track/5JpUhPdInQTkknuw1wYoA1
