,chart_position,track,artist,streams,url
1059711,152,Karl Johan,Ringnes-Ronny,132571,https://open.spotify.com/track/46v4XAUfknD2BTqZQ60YAX
1059716,157,DIABLO,Nineb Youk,130598,https://open.spotify.com/track/3MYeePRUO8Tya34c1Zhoyb
1059722,163,Blåmärkshårt (Mi Amor),Miriam Bryant,128421,https://open.spotify.com/track/2qKtQuFukH2d0m3FNROcqH
1059725,166,Edu,Yasin,127756,https://open.spotify.com/track/7hAlug7tkS054bEiAnkhvz
1059731,172,Save My Life (feat. Lovespeake),David Guetta,126170,https://open.spotify.com/track/1w8DxFHDDInmn5TovLKKrW
1059736,177,Ghettobarn,Lelo,124299,https://open.spotify.com/track/0BLghMroLB1Re8XGrXWmb7
1059738,179,Find Your Way Home,Joakim Lundell,122931,https://open.spotify.com/track/3AuM1pXGdzKnhJJhIqZ16Z
1059742,183,Paradise,VIZE,121370,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
1059745,186,DJUPA SÅR,Owen,118832,https://open.spotify.com/track/1eF3EBfNtBeZlcuSF15O2G
1059746,187,Discohatt,Lov1,117971,https://open.spotify.com/track/7jwpEJL1Y1Hb0AlJl9Q0sk
1059748,189,Share That Love (feat. G-Eazy),Lukas Graham,117785,https://open.spotify.com/track/44l9nnCVvOQBbWG6tDViKl
1059750,191,Hotel Walls,Smith & Thell,117419,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
1059756,197,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,114562,https://open.spotify.com/track/1I7arMzqZe0nxd9TfkG0Dt
1059758,199,Afterwork,Bolaget,113788,https://open.spotify.com/track/6709eMbfnuHS64RVhlYLty
1059890,131,Say no more,Mwuana,160141,https://open.spotify.com/track/6Qfg1n97SanHffsSQ9OIxd
1059906,147,STORDÅD,24K,150528,https://open.spotify.com/track/7z5DI3MAqqznEIWH87AtTe
1059911,152,Mowgli,Macky,148391,https://open.spotify.com/track/43uomeeATCwrj0e4TX6iJA
1059914,155,Feelings,Einár,147716,https://open.spotify.com/track/0whPNuKZ7Nu9oft8WmMvVf
1059916,157,Sett henne - Så mycket bättre 2020,Markus Krunegård,146090,https://open.spotify.com/track/3Tn2lQ7hx1aKTa55GoR6xg
1059920,161,No Talk,Yasin,142228,https://open.spotify.com/track/5d9b4sIknF33Tlz74Gpd2H
1059922,163,Tror du att han bryr sig,Silvana Imam,140150,https://open.spotify.com/track/7qLUWLO7MaokVesxcQKSpP
