"Year","TradeFlowName","TradeValue_in_1000_USD","NetWeight_in_KGM","first","second","third","fourth"
"2016","Export","1511423.112","643788044","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Export","0.198","","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","2071.796","75463","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","366201.988","1274938245","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","15950.247","6863","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Export","5999.176","257801","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Export","1480770.902","588216161","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","3758.81","99867","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","241259.672","54155136","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","49.757","0","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","5432.574","193247","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","1366504.374","577099641","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","0.75","20","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Import","3361.673","125288","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Import","200619.325","28832630","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Export","9248.657","41094","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Export","1568252.934","989178619","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Import","3093.232","152302","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Import","221225.183","437153055","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Export","1463.705","583891","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2008","Export","1123390.167","415046655","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2008","Import","392301.755","942699930","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Export","1785.834","745534","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Export","1119115.167","568659319","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Import","101041.715","243713807","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Export","1885.626","694722","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Export","1423811.188","738211530","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Import","18.622","5741","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Import","184590.851","523967256","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2011","Export","2356.394","711677","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2011","Export","2164063.888","528958945","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2011","Import","428503.722","250190125","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2012","Export","1719.865","567768","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2012","Export","1698242.398","1194441305","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2012","Import","2.448","9058","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2012","Import","63344.933","59825492","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2013","Export","2337.994","810427","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2013","Export","1833889.547","1885838860","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2013","Import","1210656.996","3498144907","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2014","Export","2196.011","776675","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2014","Export","2019279.991","1551075777","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2014","Import","908230.203","2665605737","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2015","Export","1441.347","472535","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2015","Export","1525704.378","746982523","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2015","Import","144287.686","460052861","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2016","Export","719.16","304193","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2016","Export","1283259.479","597496038","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2016","Import","0.125","19","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2016","Import","328553.398","1271325061","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2017","Export","548.5","206533","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2017","Export","1194643.039","541221335","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2017","Import","8.868","7","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2017","Import","184312.74","51853054","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2017","Import","49.757","0","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2018","Export","434.384","158050","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2018","Export","1062773.552","524064314","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2018","Export","0.671","","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2018","Import","129974.719","26833488","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2019","Export","35.159","13983","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2019","Export","1251375.123","930002884","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2019","Import","75.577","4001","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2019","Import","138497.547","434596093","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2008","Export","10629.35","4196724","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2008","Import","322397.679","909340463","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2009","Export","24689.624","129984653","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2009","Import","52746.197","219189997","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2010","Export","49693.88","272052195","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2010","Import","119720.317","494752341","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2011","Export","10996.811","21424455","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2011","Import","33089.585","104675101","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2012","Export","216261.908","788562517","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2012","Import","16609.932","47047035","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2013","Export","490999.105","1441621666","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2013","Import","1145174.246","3477529094","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2014","Export","544388.804","1073453195","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2014","Import","832069.821","2641132160","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2015","Export","52444.379","216077161","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2015","Import","109098.59","453496899","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2016","Export","39828.809","142985626","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2016","Import","259547.661","1241101872","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2017","Export","29992.917","125464167","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2017","Import","88105.288","13082530","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2018","Export","33797.371","105099148","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2018","Import","68698.921","5677464","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2019","Export","74752.656","379604984","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2019","Import","100181.333","428441175","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains and other crops"
"2008","Export","2.221","1700","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Wheat"
