Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2016,Import,14877.233,09,0,09,09,09
2009,Export,126589.777,10,1,10,10,10
2009,Export,112618.234,25,2,25,25,25
2014,Export,362145.685,10,1,10,10,10
2011,Export,849283.9,37,3,37,37,37
2016,Export,91391.355,22,2,22,22,22
2017,Export,171048.396,02,0,02,02,02
2014,Import,908230.203,01,0,01,01,01
2019,Export,31884.427,23,2,23,23,23
2008,Import,387555.372,26,2,26,26,26
2014,Export,9398.261,08,0,08,08,08
2015,Import,6587.364,08,0,08,08,08
2008,Import,217018.065,20,2,20,20,20
2013,Import,5288629.982,13,1,13,13,13
2011,Export,1137226.928,26,2,26,26,26
2015,Import,8175190.399,28,2,28,28,28
2019,Import,4085494.09,35,3,35,35,35
2011,Import,162197.542,14,1,14,14,14
2013,Import,141086.861,14,1,14,14,14
2009,Export,1120901.001,01,0,01,01,01
2017,Import,5525.763,08,0,08,08,08
2011,Import,9543889.319,28,2,28,28,28
2017,Import,651153.995,37,3,37,37,37
2008,Import,7173854.084,28,2,28,28,28
2014,Export,1161525.23,28,2,28,28,28
2009,Import,149340.807,32,3,32,32,32
2011,Export,56901.829,14,1,14,14,14
2013,Import,1090961.145,12,1,12,12,12
2011,Import,1878291.85,38,3,38,38,38
2009,Import,15496.417,23,2,23,23,23
2009,Export,1697214.576,35,3,35,35,35
2018,Export,2459993.705,37,3,37,37,37
2015,Import,178300.069,32,3,32,32,32
2016,Export,1741.22,21,2,21,21,21
2016,Export,1253838.626,28,2,28,28,28
2008,Import,112164.033,22,2,22,22,22
2018,Import,311861.252,33,3,33,33,33
2016,Export,57881.108,14,1,14,14,14
2009,Export,5222.485,08,0,08,08,08
2012,Import,160135.137,22,2,22,22,22
2014,Export,487342.525,31,3,31,31,31
2018,Import,129974.719,01,0,01,01,01
2011,Import,5841.283,08,0,08,08,08
2019,Import,16611.014,24,2,24,24,24
2012,Export,59561.518,91,9,91,91,91
2017,Import,259458.845,29,2,29,29,29
2019,Import,107768.856,32,3,32,32,32
2017,Import,6412.639,31,3,31,31,31
2014,Import,1061.332,21,2,21,21,21
2009,Import,5138.374,10,1,10,10,10
2013,Export,1087946.435,28,2,28,28,28
2017,Export,4790603.639,35,3,35,35,35
2012,Import,997479.088,34,3,34,34,34
2008,Import,39133.525,02,0,02,02,02
2010,Import,5860.484,31,3,31,31,31
2012,Export,569965.312,30,3,30,30,30
2012,Import,93231.803,39,3,39,39,39
2008,Import,1449668.478,38,3,38,38,38
2014,Export,3529422.781,13,1,13,13,13
2015,Import,144287.686,01,0,01,01,01
2017,Export,514561.391,30,3,30,30,30
2012,Import,351184.962,20,2,20,20,20
2012,Export,250633.807,38,3,38,38,38
2014,Import,789008.055,30,3,30,30,30
2013,Export,41008.169,91,9,91,91,91
2018,Import,1114987.552,20,2,20,20,20
2017,Import,117956.525,32,3,32,32,32
2019,Import,10078289.397,13,1,13,13,13
2008,Import,392301.755,01,0,01,01,01
2010,Export,604079.408,36,3,36,36,36
2015,Export,0.021,12,1,12,12,12
2019,Export,4783829.645,33,3,33,33,33
2012,Export,4455364.759,33,3,33,33,33
2018,Import,1151095.192,12,1,12,12,12
2011,Import,328341.102,20,2,20,20,20
2013,Import,10928.428,08,0,08,08,08
2008,Import,15418.262,23,2,23,23,23
2014,Import,10913.883,10,1,10,10,10
2017,Export,40003.331,91,9,91,91,91
2013,Export,3244086.013,35,3,35,35,35
2013,Import,156897.611,25,2,25,25,25
2008,Export,1572.377,21,2,21,21,21
2015,Import,643494.431,30,3,30,30,30
2009,Export,542591.058,32,3,32,32,32
2010,Import,184609.473,01,0,01,01,01
2018,Export,67390.181,22,2,22,22,22
2011,Export,2185815.531,20,2,20,20,20
2011,Import,22261.684,23,2,23,23,23
2011,Export,1343966.812,28,2,28,28,28
2017,Import,525768.196,30,3,30,30,30
2018,Export,149851.09,39,3,39,39,39
2015,Export,1642.432,21,2,21,21,21
2017,Export,182297.258,25,2,25,25,25
2013,Import,9788921.467,28,2,28,28,28
2011,Import,7778476.374,35,3,35,35,35
2014,Import,6075.742,08,0,08,08,08
2008,Export,284079.78,29,2,29,29,29
2008,Import,378143.124,29,2,29,29,29
2019,Import,49058.157,39,3,39,39,39
2019,Import,1302772.591,38,3,38,38,38
2009,Export,2560215.61,13,1,13,13,13
2017,Import,1124547.084,36,3,36,36,36
2014,Import,14620.565,91,9,91,91,91
2016,Export,1283978.639,01,0,01,01,01
2018,Export,5158999.551,33,3,33,33,33
2010,Import,595002.225,33,3,33,33,33
2010,Import,111844.303,14,1,14,14,14
2009,Import,47431.081,39,3,39,39,39
2012,Import,8912115.215,28,2,28,28,28
2012,Import,176088.331,14,1,14,14,14
2008,Import,1008146.145,12,1,12,12,12
2017,Export,461137.619,34,3,34,34,34
2015,Export,107060.243,09,0,09,09,09
2016,Import,3644309.329,13,1,13,13,13
2015,Export,1527145.725,01,0,01,01,01
2013,Export,1279011.031,26,2,26,26,26
2016,Export,28568.17,27,2,27,27,27
2009,Export,197709.52,38,3,38,38,38
2013,Import,8202064.972,35,3,35,35,35
2019,Export,155845.947,09,0,09,09,09
2018,Export,44793.385,14,1,14,14,14
2012,Export,625924.438,24,2,24,24,24
2010,Export,705298.249,32,3,32,32,32
2015,Import,413648.835,33,3,33,33,33
2013,Export,772262.978,36,3,36,36,36
2008,Import,215060.607,32,3,32,32,32
2019,Export,14712.127,08,0,08,08,08
2011,Import,79855.441,39,3,39,39,39
2011,Export,457177.231,34,3,34,34,34
2012,Export,27830.723,23,2,23,23,23
2016,Export,101687.425,09,0,09,09,09
2011,Export,5798098.146,13,1,13,13,13
2015,Export,419773.326,30,3,30,30,30
2013,Import,39455.216,02,0,02,02,02
2012,Export,778866.753,32,3,32,32,32
2013,Export,1463890.278,37,3,37,37,37
2011,Import,428503.722,01,0,01,01,01
2014,Import,834270.139,12,1,12,12,12
2013,Export,111486.306,25,2,25,25,25
2011,Import,455546.961,26,2,26,26,26
2012,Export,393139.594,29,2,29,29,29
2016,Export,967413.454,32,3,32,32,32
2011,Import,164178.468,22,2,22,22,22
2018,Import,9130999.465,13,1,13,13,13
2011,Export,472903.397,31,3,31,31,31
2010,Export,430294.122,34,3,34,34,34
2013,Export,93983.232,22,2,22,22,22
2016,Export,458093.755,31,3,31,31,31
2009,Import,217755.228,20,2,20,20,20
2010,Export,216893.13,38,3,38,38,38
2010,Export,66961.854,02,0,02,02,02
2013,Export,69881.581,02,0,02,02,02
2016,Export,172630.48,39,3,39,39,39
2016,Import,5038.177,08,0,08,08,08
2018,Import,31559.14,27,2,27,27,27
2019,Export,62363.68,22,2,22,22,22
2013,Export,227026.512,10,1,10,10,10
2018,Import,410757.612,29,2,29,29,29
2014,Export,2303789.254,37,3,37,37,37
2018,Import,5589.758,08,0,08,08,08
2017,Export,21698.067,27,2,27,27,27
2008,Import,212343.417,25,2,25,25,25
2014,Import,7473728.615,35,3,35,35,35
2013,Import,88945.539,39,3,39,39,39
2015,Export,106273.95,22,2,22,22,22
2018,Export,312806.61,38,3,38,38,38
2011,Import,239256.261,32,3,32,32,32
2017,Import,6550135.755,13,1,13,13,13
