Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2016,3465,Import,30322.455,3,34,346,3465
2017,2673,Import,4437.225,2,26,267,2673
2017,0131,Import,55944.169,0,01,013,0131
2012,3523,Import,892310.272,3,35,352,3523
2014,3914,Export,179.101,3,39,391,3914
2017,2542,Export,1527.19,2,25,254,2542
2012,2431,Import,221.591,2,24,243,2431
2011,2273,Import,15967.035,2,22,227,2273
2017,3069,Export,26832.098,3,30,306,3069
2010,0161,Import,547.556,0,01,016,0161
2014,0831,Export,9166.997,0,08,083,0831
2019,3261,Import,106.461,3,32,326,3261
2012,2819,Export,162458.116,2,28,281,2819
2014,2836,Import,653382.968,2,28,283,2836
2014,1499,Import,6118.569,1,14,149,1499
2010,3264,Import,10350.923,3,32,326,3264
2013,2392,Export,6229.318,2,23,239,2392
2015,1459,Import,4699.227,1,14,145,1459
2019,2676,Export,420.651,2,26,267,2676
2019,2514,Import,3144.878,2,25,251,2514
2019,3351,Export,63895.442,3,33,335,3351
2019,2121,Export,47.721,2,21,212,2121
2009,2676,Export,36.129,2,26,267,2676
2011,3431,Import,546.438,3,34,343,3431
2013,2322,Export,65.18,2,23,232,2322
2017,2371,Export,1644.352,2,23,237,2371
2014,0119,Import,2245.714,0,01,011,0119
2013,0919,Import,9485.109,0,09,091,0919
2014,2835,Export,428.792,2,28,283,2835
2016,2015,Export,368.809,2,20,201,2015
2016,3081,Export,25224.293,3,30,308,3081
2017,2241,Export,12625.527,2,22,224,2241
2015,3829,Import,38484.948,3,38,382,3829
2018,3829,Export,4033.865,3,38,382,3829
2008,2399,Export,432.119,2,23,239,2399
2008,1455,Import,6526.024,1,14,145,1455
2013,0139,Import,10648.651,0,01,013,0139
2017,2337,Import,109.572,2,23,233,2337
2009,2295,Import,11809.593,2,22,229,2295
2011,2844,Export,9528.446,2,28,284,2844
2011,2657,Import,1303.728,2,26,265,2657
2013,2075,Export,2659.353,2,20,207,2075
2012,2121,Export,73.152,2,21,212,2121
2014,2037,Export,409673.036,2,20,203,2037
2016,0213,Import,245.955,0,02,021,0213
2015,2296,Export,3760.493,2,22,229,2296
2010,2835,Import,153308.789,2,28,283,2835
2016,2399,Export,547.66,2,23,239,2399
2015,0115,Export,50171.398,0,01,011,0115
2010,2099,Import,6031.31,2,20,209,2099
2016,3993,Export,362.95,3,39,399,3993
2010,2084,Export,1019.768,2,20,208,2084
2009,0211,Import,14636.699,0,02,021,0211
2013,2879,Import,908896.907,2,28,287,2879
2013,3993,Import,1172.909,3,39,399,3993
2016,3482,Export,38888.325,3,34,348,3482
2015,3357,Export,21682.449,3,33,335,3357
2010,2284,Export,545.351,2,22,228,2284
2018,2095,Import,2014.222,2,20,209,2095
2016,0273,Export,593.065,0,02,027,0273
2019,2542,Import,1718.424,2,25,254,2542
2013,2873,Import,112834.707,2,28,287,2873
2011,2141,Export,1799.807,2,21,214,2141
2018,2111,Export,0.386,2,21,211,2111
2016,3255,Export,5123.399,3,32,325,3255
2011,0271,Export,53.547,0,02,027,0271
2010,2389,Import,373.087,2,23,238,2389
2017,2035,Import,9635.521,2,20,203,2035
2016,0919,Export,1050.722,0,09,091,0919
2009,3944,Export,328.54,3,39,394,3944
2010,1411,Export,551.972,1,14,141,1411
2017,2062,Export,182602.073,2,20,206,2062
2015,1479,Import,112111.182,1,14,147,1479
2015,2321,Export,1048.621,2,23,232,2321
2011,1479,Import,138956.782,1,14,147,1479
2008,3171,Export,1303.986,3,31,317,3171
2019,2653,Export,234.935,2,26,265,2653
2013,3281,Export,771025.366,3,32,328,3281
2016,2068,Export,74313.139,2,20,206,2068
2018,2678,Import,0.072,2,26,267,2678
2015,2353,Import,372.453,2,23,235,2353
2009,2335,Export,1560.338,2,23,233,2335
2013,2084,Import,4433.871,2,20,208,2084
2013,2075,Import,45554.221,2,20,207,2075
2014,0211,Import,21213.556,0,02,021,0211
2019,2241,Import,10774.436,2,22,224,2241
2009,2874,Export,486.646,2,28,287,2874
2018,2131,Export,0.5,2,21,213,2131
2008,3431,Import,341.63,3,34,343,3431
2018,2514,Export,4472.301,2,25,251,2514
2009,9900,Import,426.491,9,99,990,9900
2019,2325,Export,428.835,2,23,232,2325
2011,2652,Import,246.528,2,26,265,2652
2016,3357,Import,76659.017,3,33,335,3357
2014,2655,Export,18.356,2,26,265,2655
2015,3949,Import,12098.864,3,39,394,3949
2019,3131,Export,2130.945,3,31,313,3131
2019,3944,Export,1103.099,3,39,394,3944
2017,2297,Export,17810.297,2,22,229,2297
2013,3671,Export,85.095,3,36,367,3671
2016,3312,Export,1957679.707,3,33,331,3312
2019,3069,Import,54991.604,3,30,306,3069
2014,3931,Import,9273.273,3,39,393,3931
2012,2393,Import,98.249,2,23,239,2393
2013,2844,Import,133015.982,2,28,284,2844
2010,2434,Export,682.524,2,24,243,2434
2010,2621,Import,154497.646,2,26,262,2621
2018,3021,Import,26.964,3,30,302,3021
2014,2874,Export,1051.573,2,28,287,2874
2011,3441,Export,1004.57,3,34,344,3441
2010,2429,Import,272.61,2,24,242,2429
2017,1474,Import,10.996,1,14,147,1474
2012,2892,Import,5792.564,2,28,289,2892
2016,1429,Import,166.379,1,14,142,1429
2017,3593,Export,28958.122,3,35,359,3593
2011,2393,Export,38.483,2,23,239,2393
2017,2621,Import,102073.844,2,26,262,2621
2009,3826,Import,42520.864,3,38,382,3826
2008,3621,Import,166942.813,3,36,362,3621
2010,2051,Import,22.403,2,20,205,2051
2016,2339,Import,12.157,2,23,233,2339
2017,3743,Export,3619.523,3,37,374,3743
2018,0811,Import,2.959,0,08,081,0811
2008,2865,Export,203713.68,2,28,286,2865
2013,3264,Export,1940.636,3,32,326,3264
2013,2085,Export,1105323.565,2,20,208,2085
2012,2674,Export,3070.492,2,26,267,2674
2015,3914,Export,180.179,3,39,391,3914
2016,2337,Import,185.969,2,23,233,2337
2015,2041,Import,781.877,2,20,204,2041
