Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2015,3,Import,13004831.117,3,3,3,3
2014,1,Import,7182372.771,1,1,1,1
2010,9,Export,37351.561,9,9,9,9
2017,3,Import,7957544.477,3,3,3,3
2012,9,Export,84253.866,9,9,9,9
2015,3,Export,14013483.681,3,3,3,3
2009,3,Import,11146864.05,3,3,3,3
2011,1,Export,6098213.42,1,1,1,1
2008,0,Export,1277973.723,0,0,0,0
2011,1,Import,6367774.795,1,1,1,1
2018,3,Export,16321979.097,3,3,3,3
2017,2,Export,6641118.827,2,2,2,2
2010,2,Import,9008825.197,2,2,2,2
2017,0,Import,245068.239,0,0,0,0
2009,3,Export,7586357.353,3,3,3,3
2009,1,Import,1933371.241,1,1,1,1
2009,1,Export,2742793.634,1,1,1,1
2012,2,Export,6481164.984,2,2,2,2
2008,3,Export,15062941.909,3,3,3,3
2011,9,Import,39662.298,9,9,9,9
2017,1,Export,3310317.045,1,1,1,1
2017,2,Import,9178271.371,2,2,2,2
2011,2,Export,5807151.281,2,2,2,2
2014,2,Export,5895510.253,2,2,2,2
2013,9,Export,97233.663,9,9,9,9
2016,9,Import,12897.604,9,9,9,9
2010,1,Export,4389448.443,1,1,1,1
2011,2,Import,11306279.111,2,2,2,2
2019,0,Import,224318.415,0,0,0,0
2010,0,Export,1609970.549,0,0,0,0
2015,1,Import,3788034.395,1,1,1,1
2008,1,Export,5291068.216,1,1,1,1
2008,1,Import,2490351.083,1,1,1,1
2009,0,Export,1255741.001,0,0,0,0
2008,2,Export,6028916.979,2,2,2,2
2013,0,Export,2007924.581,0,0,0,0
2011,9,Export,61286.63,9,9,9,9
2009,9,Export,22449.464,9,9,9,9
2015,0,Export,1743458.341,0,0,0,0
2013,9,Import,32209.145,9,9,9,9
2012,2,Import,10545061.734,2,2,2,2
2017,0,Export,1486770.078,0,0,0,0
2012,1,Import,6022981.375,1,1,1,1
2015,2,Export,5676365.8,2,2,2,2
2018,9,Import,86325.66,9,9,9,9
2012,3,Import,15887142.669,3,3,3,3
2013,2,Import,11454933.399,2,2,2,2
2018,2,Export,7038067.571,2,2,2,2
2010,0,Import,231887.307,0,0,0,0
2018,1,Import,10439633.635,1,1,1,1
2019,2,Export,6968392.263,2,2,2,2
2014,0,Export,2236286.033,0,0,0,0
2016,2,Import,8633964.852,2,2,2,2
2018,0,Export,1371937.698,0,0,0,0
2011,3,Export,11562949.842,3,3,3,3
2008,0,Import,444709.863,0,0,0,0
2010,1,Import,4275387.48,1,1,1,1
2013,0,Import,1273508.34,0,0,0,0
2017,3,Export,15443083.301,3,3,3,3
2008,3,Import,14346957.38,3,3,3,3
2010,2,Export,4744325.081,2,2,2,2
2019,1,Export,5316615.296,1,1,1,1
2012,1,Export,5953771.054,1,1,1,1
2011,0,Import,479498.401,0,0,0,0
2013,3,Import,17000764.896,3,3,3,3
2016,2,Export,5833660.89,2,2,2,2
2014,0,Import,972481.455,0,0,0,0
2019,3,Export,15756190.154,3,3,3,3
2008,2,Import,8547066.47,2,2,2,2
2019,1,Import,11364045.675,1,1,1,1
2019,9,Export,239785.959,9,9,9,9
2008,9,Import,21816.239,9,9,9,9
2014,9,Import,34771.354,9,9,9,9
2016,0,Import,384224.031,0,0,0,0
2014,3,Export,14591474.519,3,3,3,3
2011,0,Export,2326179.291,0,0,0,0
2010,3,Export,8611551.585,3,3,3,3
2017,1,Import,7721860.469,1,1,1,1
2010,9,Import,37011.753,9,9,9,9
2008,9,Export,27195.367,9,9,9,9
2013,1,Import,6535441.711,1,1,1,1
2013,2,Export,6266769.712,2,2,2,2
2015,9,Export,104553.392,9,9,9,9
2018,1,Export,4238086.383,1,1,1,1
2019,3,Import,8909428.561,3,3,3,3
2014,9,Export,119960.725,9,9,9,9
2012,0,Export,1840041.997,0,0,0,0
2018,9,Export,120814.301,9,9,9,9
2017,9,Export,171319.427,9,9,9,9
2010,3,Import,13723676.575,3,3,3,3
2016,3,Export,14012734.31,3,3,3,3
2015,0,Import,207936.455,0,0,0,0
2009,9,Import,13335.104,9,9,9,9
2015,2,Import,9748140.574,2,2,2,2
2011,3,Import,16048256.662,3,3,3,3
2018,0,Import,203980.998,0,0,0,0
2018,2,Import,10214669.182,2,2,2,2
2016,9,Export,149331.13,9,9,9,9
2019,0,Export,1577501.591,0,0,0,0
2014,1,Export,3954987.592,1,1,1,1
2019,2,Import,9868140.747,2,2,2,2
2014,3,Import,15827037.761,3,3,3,3
2016,3,Import,10802356.722,3,3,3,3
2014,2,Import,11301642.653,2,2,2,2
2016,1,Export,1688098.755,1,1,1,1
2012,0,Import,117722.199,0,0,0,0
2009,2,Import,6980483.789,2,2,2,2
2018,3,Import,8405511.369,3,3,3,3
2012,3,Export,12364960.953,3,3,3,3
2009,2,Export,4083830.326,2,2,2,2
2015,9,Import,12711.142,9,9,9,9
2009,0,Import,144023.12,0,0,0,0
2012,9,Import,37098.447,9,9,9,9
2016,1,Import,4265665.569,1,1,1,1
2017,9,Import,8316.519,9,9,9,9
2013,3,Export,12219895.731,3,3,3,3
2016,0,Export,1516871.392,0,0,0,0
2015,1,Export,2462616.597,1,1,1,1
2013,1,Export,3975339.521,1,1,1,1
2019,9,Import,51444.668,9,9,9,9
