,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",220650,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Dance Monkey","Tones And I",114198,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Vete,"Bad Bunny",98984,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
4,Fantasias,"Rauw Alejandro",97279,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"Sigues Con El","Dímelo Flow",93515,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
6,"LA CANCIÓN","J Balvin",78704,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
7,"RITMO (Bad Boys For Life)","Black Eyed Peas",77993,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
8,"No Me Conoce - Remix","Jhay Cortez",76937,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,China,"Anuel AA",72073,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
10,Callaita,"Bad Bunny",68284,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,"Hola - Remix",Dalex,68178,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
12,"Adicto (with Anuel AA & Ozuna)",Tainy,62812,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
13,"Que Tire Pa Lante","Daddy Yankee",58868,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
14,"Whine Up","Nicky Jam",58298,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
15,Yummy,"Justin Bieber",57632,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
16,"Pa' Olvidarme De Ella","Piso 21",56761,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
17,Muévelo,"Nicky Jam",49385,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
18,"Soltera - Remix",Lunay,48092,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
19,"Bellaquita - Remix",Dalex,47687,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
20,"Si Te Vas",Sech,45878,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
21,Infeliz,Arcangel,45711,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
22,Quizas,"Rich Music LTD",44827,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
23,Tutu,Camilo,44363,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
24,Morado,"J Balvin",43957,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
25,"Pa Mí - Remix",Dalex,43061,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
26,Bellaquita,Dalex,42685,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
27,Aventura,Lunay,40528,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
28,"Don't Start Now","Dua Lipa",39691,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
