,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
58,Dior,"Pop Smoke",70420,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
59,Berlin,Samra,69349,https://open.spotify.com/track/4VyJtzcNhnV9gPEgjYzI8L
60,Move,badmómzjay,68575,https://open.spotify.com/track/1EkcoZn8GA9PRPU9X9sPti
61,"Adore You","Harry Styles",67653,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
62,"RITMO (Bad Boys For Life)","Black Eyed Peas",67124,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
63,Boyfriend,"Selena Gomez",66779,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
64,"lovely (with Khalid)","Billie Eilish",66416,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
65,"Angels Sippen",Symba,65608,https://open.spotify.com/track/0gThlZWwZWkDqRKGOz2CN1
66,"HIGHEST IN THE ROOM","Travis Scott",64721,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
67,"I Don't Care (with Justin Bieber)","Ed Sheeran",63944,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
68,110,"Capital Bra",63064,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
69,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,62690,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
70,"Piece Of Your Heart",MEDUZA,62167,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
71,"I'll Wait",Kygo,62134,https://open.spotify.com/track/6Q3K9gVUZRMZqZKrXovbM2
72,Takeaway,"The Chainsmokers",62072,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
73,Fingertips,"Tom Gregory",61451,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
74,Amarillo,"J Balvin",61138,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
75,Astronomia,Vicetone,60990,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
76,"You should be sad",Halsey,60714,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
77,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",60629,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
78,Shallow,"Lady Gaga",60294,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
