,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,China,"Anuel AA",319885,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,"LA CANCIÓN","J Balvin",284144,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
3,"Otro Trago - Remix",Sech,245806,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
4,Callaita,"Bad Bunny",234384,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
5,Tutu,Camilo,223297,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
6,"No Me Conoce - Remix","Jhay Cortez",190464,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
7,"Soltera - Remix",Lunay,168397,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
8,"La Playa","Myke Towers",150218,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
9,Cuaderno,Dalex,142196,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
10,"Verte Ir","DJ Luian",130545,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
11,"Si Supieras","Daddy Yankee",121864,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
12,"Si Se Da - Remix","Myke Towers",114636,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
13,"Tal Vez","Paulo Londra",113698,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
14,"Que Mas Pues - Remix",Sech,109359,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
15,"Otro Trago",Sech,104154,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
16,"Pa Mí - Remix",Dalex,96763,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
17,"QUE PRETENDES","J Balvin",96152,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
18,"11 PM",Maluma,93521,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
19,CANGURO,WOS,92301,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX
20,Delincuente,Farruko,84785,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
21,Runaway,"Sebastian Yatra",83095,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
22,"Con Altura",ROSALÍA,82101,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
23,Solita,Sech,81220,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
24,Atrévete,"Nicky Jam",79826,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
25,"Si Se Da","Myke Towers",77009,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
26,"La Boca - Remix","Mau y Ricky",75784,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
27,"Por Eso Vine","Paulo Londra",74833,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu
28,"Te Robaré","Nicky Jam",73872,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
29,Bellacoso,Residente,72601,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
30,"Rebota - Remix",Guaynaa,68537,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
31,Señorita,"Shawn Mendes",64945,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
32,"Te Soñé De Nuevo",Ozuna,62815,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa
