,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",7146,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
56,"Bad Liar","Imagine Dragons",7040,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
57,imagine,"Ariana Grande",7022,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
58,"hope is a dangerous thing for a woman like me to have - but I have it","Lana Del Rey",6886,https://open.spotify.com/track/1PfUKiMDKIlPEF9FfdJawc
59,"Happy Now",Kygo,6869,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
60,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",6665,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
61,"Leave Me Alone","Flipp Dinero",6626,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
62,"Always Remember Us This Way","Lady Gaga",6590,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
63,monster,"21 Savage",6575,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
64,"WHEN I WAS OLDER - Music Inspired By The Film ROMA","Billie Eilish",6540,https://open.spotify.com/track/7tGEAA1f8MydT7eVbbO9Zy
65,REMEDY,Alesso,6409,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
66,"Wake Up in the Sky","Gucci Mane",6399,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
67,Trampoline,SHAED,6375,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
68,"Need read","Karl-Erik Taukar",6349,https://open.spotify.com/track/2vX4oIoQC5gfMUWAtcHF5O
69,Trenažöör,5MIINUST,6331,https://open.spotify.com/track/6CUrRWNO3KlHuvuw8yESSU
70,"Speechless (feat. Erika Sirola)","Robin Schulz",6322,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
71,Nevermind,"Dennis Lloyd",6287,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
72,"Another One Bites The Dust - Remastered 2011",Queen,6253,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
73,X-RAY,"Tommy Cash",6246,https://open.spotify.com/track/5CReAh1Nccooof2kGtrBk9
74,Aitäh,5MIINUST,6246,https://open.spotify.com/track/6YD1hlzPaEAZSrH1z0FmTV
75,"Butterfly Doors","Lil Pump",6228,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
76,"Girls Like You (feat. Cardi B)","Maroon 5",6195,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
77,"a lot","21 Savage",6133,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
78,"no tears left to cry","Ariana Grande",6099,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
79,"Taste (feat. Offset)",Tyga,6046,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
80,"Solo (feat. Demi Lovato)","Clean Bandit",5861,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
81,Polaroid,"Jonas Blue",5788,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
82,"Say My Name","David Guetta",5783,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
83,"One Kiss (with Dua Lipa)","Calvin Harris",5595,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
84,"MIA (feat. Drake)","Bad Bunny",5535,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
85,bellyache,"Billie Eilish",5509,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
86,Darkside,"Alan Walker",5470,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
87,"Rulli Rulli Rulli - Nublu Remix",Öed,5439,https://open.spotify.com/track/5qdzvhnYpGt6rogTlOcJe3
88,Thunderclouds,Sia,5424,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
