,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Someone You Loved","Lewis Capaldi",461456,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
2,Sucker,"Jonas Brothers",384178,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
3,"Giant (with Rag'n'Bone Man)","Calvin Harris",342592,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
4,"Don't Call Me Up",Mabel,336522,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
5,"7 rings","Ariana Grande",328128,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
6,"break up with your girlfriend, i'm bored","Ariana Grande",320347,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
7,Wow.,"Post Malone",288429,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
8,"Dancing With A Stranger (with Normani)","Sam Smith",265887,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,Shallow,"Lady Gaga",254602,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
10,"i'm so tired...",Lauv,251343,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
11,"bury a friend","Billie Eilish",222985,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
12,"Almost (Sweet Music)",Hozier,221533,https://open.spotify.com/track/6UTmrvq4nRmx1iQ6iMd1FD
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",207948,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"One Drink","Picture This",192894,https://open.spotify.com/track/7ITXKzRU7eqcRwF2YXZj8b
15,"Sweet but Psycho","Ava Max",172078,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,"Just You and I","Tom Walker",171039,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
17,"wish you were gay","Billie Eilish",167803,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
18,"Walk Me Home",P!nk,165818,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
19,"Power Over Me","Dermot Kennedy",158596,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
20,Talk,Khalid,156793,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
21,"Hello My Love",Westlife,149593,https://open.spotify.com/track/4EtIza2cKMmR2XP7idebXG
22,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",146921,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
23,"MIDDLE CHILD","J. Cole",144702,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
24,"Saturday Nights",Khalid,143731,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
25,"thank u, next","Ariana Grande",140597,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
26,Robbery,"Juice WRLD",135843,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
27,"Murder On My Mind","YNW Melly",134154,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
28,"Who Do You Love","The Chainsmokers",130677,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
29,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",126138,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
30,Happier,Marshmello,124382,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
31,"My Bad",Khalid,117613,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
32,"Disaster (feat. J Hus)",Dave,116316,https://open.spotify.com/track/3rqmxZNh2BRgJ3BiCPFTSG
33,"Eastside (with Halsey & Khalid)","benny blanco",115933,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
34,"Without Me",Halsey,115790,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
