,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,Tusa,"KAROL G",4738,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
57,"Quiéreme Mientras Se Pueda","Manuel Turizo",4721,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
58,Animal,"Maria Becerra",4698,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
59,"La Forma en Que Me Miras","Super Yei",4634,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
60,"De Cora <3","Rauw Alejandro",4592,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
61,Nada,"Cali Y El Dandee",4573,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
62,Explícito,"Myke Towers",4450,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
63,Caramelo,Ozuna,4392,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
64,"BOOKER T","Bad Bunny",4387,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
65,"Hola - Remix",Dalex,4376,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
66,"La Jeepeta - Remix","Nio Garcia",4338,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
67,"Dejaría Todo",CNCO,4312,https://open.spotify.com/track/1ZN2Dat0KrO0xqr9t8QP9r
68,"La Mitad",Camilo,4277,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
69,"L-Gante Rkt","Papu DJ",4232,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
70,"LA CANCIÓN","J Balvin",4209,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
71,"De Los Besos Que Te Di","Christian Nodal",4168,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
72,"Como Si Nada","Adso Alejandro",4132,https://open.spotify.com/track/2ECKWYbTPpKvtnKiRiUQqC
73,"Dime Cómo Quieres","Christian Nodal",4024,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
74,Favorito,Camilo,4008,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
75,"Tú Me Dejaste De Querer","C. Tangana",3979,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
76,+Linda,Dalex,3972,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
77,"Algo Mágico","Rauw Alejandro",3891,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
78,"Si Me Dices Que Sí",Reik,3824,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
79,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",3760,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
80,"Cuando Sera",Mora,3760,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
81,Azul,"J Balvin",3756,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
82,"No Bailes Sola","Danna Paola",3714,https://open.spotify.com/track/411nmd0QMzty1UjCWSo3rc
83,"GIRL LIKE ME","Black Eyed Peas",3582,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
84,"No Me Conoce - Remix","Jhay Cortez",3511,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
85,"Sigues Con El","Dímelo Flow",3477,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
86,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,3463,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
87,"No Te Contaron Mal","Christian Nodal",3413,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
88,"Me Rehúso","Danny Ocean",3412,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
89,Rojo,"J Balvin",3376,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
90,"Watermelon Sugar","Harry Styles",3328,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
91,"Te Vi","Piso 21",3313,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
92,"El Mismo Aire - con Pablo Alborán",Camilo,3261,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
93,"La Luz",Sech,3257,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
94,Antes,"Anuel AA",3255,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
95,"Se Me Olvidó","Christian Nodal",3240,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
96,"Caramelo - Remix",Ozuna,3214,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
97,"HACIENDO QUE ME AMAS","Bad Bunny",3210,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
98,Enchule,"Rauw Alejandro",3200,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u
99,Desnudarte,Brytiago,3116,https://open.spotify.com/track/3wrBFPDRyIGyGXxGSc970M
100,Snowman,Sia,3111,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
101,Desconocidos,"Mau y Ricky",3065,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
102,Relación,Sech,3040,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
103,Jangueo,"Alex Rose",3034,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
104,"Por Primera Vez",Camilo,3015,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
105,"Don't Start Now","Dua Lipa",2998,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
106,Ignorantes,"Bad Bunny",2963,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
107,"Vete Pal Carajo","Yan Block",2939,https://open.spotify.com/track/1mrQYY0NATPCe7WOYcCKf1
108,"Mi Niña - Remix",Wisin,2938,https://open.spotify.com/track/43PXER25C9JkExLBd5dObG
109,Tutu,Camilo,2931,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
110,"Leave The Door Open","Bruno Mars",2930,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
111,Fantasias,"Rauw Alejandro",2930,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
