,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,34+35,"Ariana Grande",1437858,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
2,"At My Worst","Pink Sweat$",1362522,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
3,"Dance With You","Skusta Clee",1317693,https://open.spotify.com/track/7bUvgvAf0tdQIty95lV5wf
4,Dynamite,BTS,1265083,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
5,"Life Goes On",BTS,1084651,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
6,positions,"Ariana Grande",979602,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
7,Anyone,"Justin Bieber",881619,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
8,Paubaya,"Moira Dela Torre",834586,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP
9,"Beautiful Scars",Maximillian,793638,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE
10,"Lovesick Girls",BLACKPINK,764322,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
11,"I CAN'T STOP ME",TWICE,762318,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
12,"Put Your Records On","Ritt Momney",744965,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
13,"Holy (feat. Chance The Rapper)","Justin Bieber",716425,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
14,"What You Know Bout Love","Pop Smoke",694503,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
15,"Ice Cream (with Selena Gomez)",BLACKPINK,678692,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
16,"You Got It",Vedo,675642,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
17,"Stuck with U (with Justin Bieber)","Ariana Grande",668716,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
18,Snowman,Sia,665443,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
19,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,644153,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
20,KLWKN,"Music Hero",632128,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN
21,"Kabilang Buhay","Bandang Lapis",631462,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG
22,Afterglow,"Ed Sheeran",615494,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
23,willow,"Taylor Swift",610228,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
24,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",609316,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
25,Ulap,"Rob Deniel",582416,https://open.spotify.com/track/0en1kxNAvVQxLpbteRTG7L
26,Titig,"MC Einstein",580758,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci
27,"Levitating (feat. DaBaby)","Dua Lipa",566142,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,Imahe,"Magnus Haven",540449,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
29,"Kathang Isip",Ben&Ben,529832,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
30,Copines,"Aya Nakamura",525611,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
31,"Wag Na Lang","MC Einstein",502367,https://open.spotify.com/track/4Qs3DkTFVG1QiOwd0BUa9o
32,"Maybe The Night",Ben&Ben,498392,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
33,"Di Ka Sayang",Ben&Ben,492349,https://open.spotify.com/track/0V9rj37SqxF06EOV809odq
34,"Someone You Loved","Lewis Capaldi",491824,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"Make It With You",Ben&Ben,479339,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh
36,"How You Like That",BLACKPINK,470534,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
37,Heather,"Conan Gray",469829,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
38,"Malayo Ka Man","Jr Crown",468364,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo
39,Sulyap,"Jr Crown",464647,https://open.spotify.com/track/3a22L5P9cix1HFNzjb3SpB
40,Higa,"Arthur Nery",463238,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC
41,Mariposa,"Peach Tree Rascals",458864,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
42,"WAP (feat. Megan Thee Stallion)","Cardi B",458533,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
43,"Teka Lang",Emman,455447,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht
44,Memories,"Maroon 5",451933,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
45,"10,000 Hours (with Justin Bieber)","Dan + Shay",451010,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
46,"Hindi Tayo Pwede","The Juans",441740,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
47,"if this is the last time",LANY,433142,https://open.spotify.com/track/3bsRMvQja4huvPWo1S5ONc
48,"Go Crazy","Chris Brown",431894,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
49,"Lonely (with benny blanco)","Justin Bieber",426170,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
50,"CRY FOR ME",TWICE,418201,https://open.spotify.com/track/0PoAZ7SLFpqpYR9LSCYAo8
51,Fake,Lauv,399477,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW
52,"Mood (feat. iann dior)",24kGoldn,394301,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
53,Sana,"I Belong to the Zoo",390189,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
54,Leaves,Ben&Ben,389670,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
55,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",383500,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
56,Pagtingin,Ben&Ben,378310,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
57,"Your Song","Parokya Ni Edgar",368853,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
58,"Say You Won't Let Go","James Arthur",359295,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
59,"Intentions (feat. Quavo)","Justin Bieber",353596,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
60,"Nakikinig Ka Ba Sa Akin",Ben&Ben,351208,https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM
61,"I Like Me Better",Lauv,344330,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
62,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",342636,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
63,"Mad at Disney","salem ilese",342605,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
64,comethru,"Jeremy Zucker",339509,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
65,"Before You Go","Lewis Capaldi",337446,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
66,pov,"Ariana Grande",336925,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
67,"Kahit Kunwari Man Lang",Agsunta,336881,https://open.spotify.com/track/6C2JPPYodebs3deDBizyww
68,"Nandito Lang Ako","Skusta Clee",332833,https://open.spotify.com/track/5xd70ihEAM1UA1DnM8af2v
69,"Sa Susunod na Habang Buhay",Ben&Ben,332699,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd
