,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Save Your Tears","The Weeknd",38705,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
2,"Spurningar (feat. Páll Óskar)",Birnir,38097,https://open.spotify.com/track/5VrbuzqAjCAFSa7MpGRXWI
3,"Ef ástin er hrein (feat. GDRN)","Jón Jónsson",36992,https://open.spotify.com/track/5wGoaKvq8Vlst7ZqKyQbvn
4,"Calling My Phone","Lil Tjay",36740,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
5,"Rólegur Kúreki",BRÍET,36118,https://open.spotify.com/track/5qI0p2E7BxBxYRJknYr6Gg
6,"drivers license","Olivia Rodrigo",35858,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,"Segðu mér","Friðrik Dór",29960,https://open.spotify.com/track/04ZMCgKlsRcTDrxGMKCrAx
8,Esjan,BRÍET,23822,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY
9,"The Business",Tiësto,23632,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,"WITHOUT YOU","The Kid LAROI",21275,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
11,"Good Days",SZA,21209,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
12,"Blinding Lights","The Weeknd",20493,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",20169,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
14,"Goosebumps - Remix","Travis Scott",19516,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
15,"Fljúgðu burt dúfa",Auður,19514,https://open.spotify.com/track/215DAsePr8LKyzyF2sScV7
16,Whoopty,CJ,17140,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
17,Up,"Cardi B",16980,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
18,Streets,"Doja Cat",16356,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
19,"Dvel ég í draumahöll","Hafdís Huld",14526,https://open.spotify.com/track/44APbTIWsNtA4lJivNJSQ6
20,"Mood (feat. iann dior)",24kGoldn,14312,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
21,"Latest Trends","A1 x J1",13867,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
22,"Djúp Sár Gróa Hægt",BRÍET,13773,https://open.spotify.com/track/1aPtR7RxPkPBL385B9FYEl
23,Anyone,"Justin Bieber",12923,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
24,"Rómeó og Júlía","Bubbi Morthens",12905,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
25,"Older (feat. Rurik)","Doctor Victor",12870,https://open.spotify.com/track/43jLdmZASAbUoq1Xs2pfak
26,Sólblóm,BRÍET,12802,https://open.spotify.com/track/1JErDzdamBvSZQr7xaDToq
27,"Lonely (with benny blanco)","Justin Bieber",12578,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
28,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,12340,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
29,"Therefore I Am","Billie Eilish",12333,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
30,HOLIDAY,"Lil Nas X",12286,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
31,"Head & Heart (feat. MNEK)","Joel Corry",12130,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
32,"Hata að hafa þig ekki hér (SAMSUNG SESSJÓN)","Friðrik Dór",12129,https://open.spotify.com/track/2VvV5w6oTybLoO9pcRpgTz
33,Óskasteinar,"Hafdís Huld",12126,https://open.spotify.com/track/1EUZrgQT3KkJ5dBiYLAbVf
34,Stjörnurnar,"Herra Hnetusmjör",11987,https://open.spotify.com/track/1bVpkedNmNQzcrQcfBRHyo
35,"you broke me first","Tate McRae",11962,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
36,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",11797,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
37,"Litlar stjörnur","Hafdís Huld",11705,https://open.spotify.com/track/3P4DFoobXVSxBtjsvURSSP
38,"WAP (feat. Megan Thee Stallion)","Cardi B",11507,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
39,"Sofðu unga ástin mín","Hafdís Huld",11462,https://open.spotify.com/track/0fF43Vtu2yuaixZViQN5yO
40,"What You Know Bout Love","Pop Smoke",11126,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
41,"Levitating (feat. DaBaby)","Dua Lipa",10911,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
42,"In Your Eyes","The Weeknd",10900,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
43,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",10788,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
44,Dior,"Pop Smoke",10736,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
45,"ROLLIN N CONTROLLIN FREESTYLE","DUSTY LOCANE",10244,https://open.spotify.com/track/1xqRKo0SDFDO5Jy8yEVD0X
46,Ljós,"Hafdís Huld",10193,https://open.spotify.com/track/4SnZutXz7AH58ZNVJU8dmN
47,"Sofa urtubörn","Hafdís Huld",10038,https://open.spotify.com/track/6V6q0kGDvwfCkjqVlAhJWX
48,positions,"Ariana Grande",9871,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
49,"Strobe (feat. JóiPé)","kef LAVÍK",9786,https://open.spotify.com/track/0wMybDiK33pH44ZLXKee5H
50,Shallow,"Lady Gaga",9726,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
51,"Bíum bíum bambaló","Hafdís Huld",9724,https://open.spotify.com/track/5S2wLOfH1u9iSUQy8NtvRZ
52,"Prisoner (feat. Dua Lipa)","Miley Cyrus",9476,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
53,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",9455,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
54,"Í kvöld er gigg","Ingó Veðurguð",9421,https://open.spotify.com/track/5dPMGUpSV58vMTW3CgGqTZ
55,"We're Good","Dua Lipa",9238,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
56,"Rauðar Rósir Fölna",BRÍET,9228,https://open.spotify.com/track/4LHLf9XFfhS9Zcm9xPhxBm
57,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",9166,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
58,Ævintýralönd,"Hafdís Huld",9131,https://open.spotify.com/track/1uaSTOZG1cSH2e7EaWNYaM
59,"Someone You Loved","Lewis Capaldi",9061,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
60,Element,"Pop Smoke",8935,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB
61,Fimm,BRÍET,8792,https://open.spotify.com/track/07pDiOE4MapRnzP6KdrRKX
62,Afterglow,"Ed Sheeran",8585,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
63,"Bí bí og blaka","Hafdís Huld",8561,https://open.spotify.com/track/1rS8kkyjKDrprqYW64pcgA
64,"Góða nótt","Hafdís Huld",8524,https://open.spotify.com/track/5DTaPBlR5WVwcQVl77hCFY
65,Sólskin,"Hafdís Huld",8475,https://open.spotify.com/track/76Y8XoegQ5wzOzbUeDOMos
66,"Flýg (feat. Bubbi Morthens)",Haki,8373,https://open.spotify.com/track/78hq6WVo04puawK6nhcbTV
67,"Ekkert vesen á mér (feat. Huginn)",Haki,8358,https://open.spotify.com/track/7t8YmybkNzEyHwjBRzljic
68,"Paradise (feat. Dermot Kennedy)",MEDUZA,8347,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
69,"Roses - Imanbek Remix","SAINt JHN",8325,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
