week,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019-01-04--2019-01-11,0.6927267441860465,0.6658720930232558,5.1976744186046515,-5.910970930232559,0.5174418604651163,0.10105639534883717,0.21256930813953484,0.0179187413372093,0.18265930232558142,0.47503895348837194,118.34393023255814,202505.88953488372,3.9825581395348837
2019-01-11--2019-01-18,0.6912034883720929,0.6575116279069767,5.098837209302325,-6.065877906976747,0.5348837209302325,0.0981220930232558,0.2246216337209303,0.021027056046511627,0.18372790697674424,0.4661075581395349,117.59348837209303,204612.16860465117,3.9767441860465116
2019-01-18--2019-01-25,0.6917426900584798,0.6609298245614036,5.12280701754386,-6.073140350877192,0.5380116959064327,0.0984801169590643,0.2161262046783626,0.020814251520467834,0.18559415204678362,0.4666760233918128,118.90416959064326,205913.6374269006,3.982456140350877
2019-01-25--2019-02-01,0.6778225433526012,0.6659653179190754,5.046242774566474,-5.958173410404626,0.5317919075144508,0.10111560693641618,0.20819187283236987,0.014384198612716762,0.19466184971098263,0.4591196531791907,118.23048554913292,207991.10982658959,3.976878612716763
2019-02-01--2019-02-08,0.6851403508771929,0.6651988304093569,4.964912280701754,-5.968356725146199,0.5730994152046783,0.10579356725146204,0.21347866081871347,0.008718131052631582,0.18624619883040947,0.45650409356725125,117.50500584795321,206050.57894736843,3.9766081871345027
2019-02-08--2019-02-15,0.681854748603352,0.655469273743017,5.128491620111732,-6.02497765363129,0.5698324022346368,0.1024195530726257,0.2189833184357542,0.011708488491620112,0.18069329608938545,0.4561910614525139,117.31895530726257,205004.8882681564,3.9664804469273744
2019-02-15--2019-02-22,0.6827262569832402,0.6661167597765364,5.268156424581005,-5.916837988826817,0.5810055865921788,0.10809273743016762,0.21528783240223462,0.011483947374301678,0.17562067039106152,0.46586648044692724,116.38790502793297,206719.44134078213,3.9553072625698324
2019-02-22--2019-03-01,0.6772752808988766,0.6601685393258429,5.331460674157303,-5.999859550561799,0.5674157303370787,0.10745393258426963,0.21360489887640455,0.007067441179775282,0.17640337078651688,0.45674213483146053,115.22716292134832,206500.7415730337,3.966292134831461
2019-03-01--2019-03-08,0.6780169491525424,0.6748474576271187,5.401129943502825,-5.7476666666666665,0.5310734463276836,0.10967344632768361,0.207631988700565,0.0071430149717514125,0.17535593220338982,0.47095536723163833,114.89454237288143,207790.4406779661,3.9717514124293785
2019-03-08--2019-03-15,0.6815642458100561,0.6735307262569833,5.195530726256983,-5.675206703910614,0.547486033519553,0.10724413407821225,0.2059382234636871,0.006745458882681563,0.17477765363128495,0.478803351955307,113.98373184357544,208096.49162011174,3.977653631284916
