,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",10053,https://open.spotify.com/track/2zCm9ss98FeOedrnKar2vM
58,Lupaan,BEHM,10025,https://open.spotify.com/track/2kcW8pChyGW3GYjEoBUyok
59,Lahest,"Lahti United",10006,https://open.spotify.com/track/6aewYw7ED4vKRVx854J3qJ
60,"Left Outside Alone","Blind Channel",9991,https://open.spotify.com/track/1sGybPOm1Q0Cv5Ak6UN43z
61,"Levitating (feat. DaBaby)","Dua Lipa",9971,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
62,"Heat Waves","Glass Animals",9814,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
63,"Veli mä vannon",Gettomasa,9731,https://open.spotify.com/track/4wUfIRIMbBOXQCauxcYKaC
64,"Päästä varpaisiin",BEHM,9645,https://open.spotify.com/track/3VsTpdea6RXkvbwLBjiCB9
65,"Ilmaisia lounaita",Rekami,9613,https://open.spotify.com/track/3LIhN8lSnZRtjk4Sso3k8h
66,Goosebumps,HVME,9591,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
67,telepatía,"Kali Uchis",9402,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
68,"Sweater Weather","The Neighbourhood",9295,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
69,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",9010,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
70,HOLIDAY,"Lil Nas X",8978,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
71,Tivolit,BEHM,8909,https://open.spotify.com/track/6Su0vZAluexLSzvXR0V5hV
72,"Fake A Smile","Alan Walker",8904,https://open.spotify.com/track/6rAGFY9D3ah6Lb7fUgbNNH
73,"Eri planeetal (feat. Olli Antonio)",Lucas,8811,https://open.spotify.com/track/6syO25POOjl3txreJra6VD
74,"Wants and Needs (feat. Lil Baby)",Drake,8698,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
75,e,MELO,8617,https://open.spotify.com/track/2JzuuUvxfwuFsMQiifmmcO
76,"Someone You Loved","Lewis Capaldi",8538,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
77,"Epäröimättä hetkeekään",Elastinen,8536,https://open.spotify.com/track/0DZ5PchaxkGuanwTLZK7ce
78,"Best Friend (feat. Doja Cat)",Saweetie,8454,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
79,Silmät,Gettomasa,8400,https://open.spotify.com/track/1rYP6R16sM0uSlxrqzR5pM
80,Sekunti,LILBRO,8382,https://open.spotify.com/track/1nJjlDVZaRxn8kNvkag4P7
81,"Ikuinen vappu",JVG,8342,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
82,Hayloft,"Mother Mother",8308,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
83,"Good Days",SZA,8272,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
84,"Pyyntö - Vain elämää kausi 11","Jannika B",8248,https://open.spotify.com/track/4krlgdspcXcWzixjacCeC9
85,"Selfish Love (with Selena Gomez)","DJ Snake",8217,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
86,"Therefore I Am","Billie Eilish",8130,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
87,"Japanese Drip",Kube,8101,https://open.spotify.com/track/1z4jCtA9thODROr8aMdcyP
88,Henki,Sexmane,8083,https://open.spotify.com/track/6u7yPV3o8Y6v5tREM9t3m9
89,"Tilanne pääl",Gasellit,8063,https://open.spotify.com/track/3IcObWyN8xrzVCkJGX4o0N
90,"What You Know Bout Love","Pop Smoke",8055,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
91,"Head & Heart (feat. MNEK)","Joel Corry",7927,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
92,ihana,F,7913,https://open.spotify.com/track/0YZoSGczxYiDR1VTuRpYLr
