week,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019-01-04--2019-01-11,0.6831379310344827,0.6408505747126438,5.385057471264368,-6.295045977011496,0.4942528735632184,0.11264022988505738,0.23255107758620694,0.01658929798850575,0.17235459770114941,0.4592028735632185,117.96701724137927,204728.3448275862,3.9827586206896552
2019-01-11--2019-01-18,0.691102857142857,0.6313142857142859,5.4,-6.379417142857145,0.49714285714285716,0.11693485714285715,0.24817469714285734,0.01872902834285714,0.16747599999999999,0.4599474285714288,117.86178285714291,203908.30285714284,3.9714285714285715
2019-01-18--2019-01-25,0.6897325581395349,0.6370697674418607,5.412790697674419,-6.233447674418606,0.5174418604651163,0.10653720930232559,0.23663820930232565,0.019048632441860464,0.17008255813953488,0.4601790697674419,117.8135058139535,202504.14534883722,3.9825581395348837
2019-01-25--2019-02-01,0.684122093023256,0.6386627906976747,5.27906976744186,-6.255930232558142,0.5581395348837209,0.1109767441860465,0.2479162325581396,0.022129304069767448,0.18228197674418606,0.4696453488372094,119.09395348837207,202771.18604651163,3.9767441860465116
2019-02-01--2019-02-08,0.6873485714285713,0.6389942857142858,5.337142857142857,-6.183154285714289,0.56,0.10146628571428574,0.24552166857142854,0.01666118617142857,0.18306400000000003,0.46411657142857127,119.18551999999998,202091.81142857144,3.9828571428571427
2019-02-08--2019-02-15,0.6898033707865171,0.6349662921348317,5.314606741573034,-6.210522471910114,0.5842696629213483,0.10284438202247187,0.24459742696629214,0.011057886741573035,0.17471292134831462,0.4632983146067414,118.15454494382026,202621.48876404495,3.9719101123595504
2019-02-15--2019-02-22,0.6882881355932204,0.6404293785310737,5.559322033898305,-6.202412429378531,0.5706214689265536,0.10381412429378531,0.23676955932203386,0.011643901355932204,0.17830451977401127,0.4586214689265534,117.20898305084746,203923.12994350283,3.9717514124293785
2019-02-22--2019-03-01,0.689843930635838,0.641034682080925,5.543352601156069,-6.130734104046244,0.5722543352601156,0.10210000000000004,0.23355498265895933,0.014765132716763005,0.1778809248554913,0.45225433526011544,117.55510982658956,204314.48554913295,3.9710982658959537
2019-03-01--2019-03-08,0.6847861271676302,0.6360867052023125,5.531791907514451,-6.361734104046241,0.5144508670520231,0.10955433526011568,0.24460573410404615,0.015175716936416188,0.17647976878612714,0.4570173410404622,117.59158381502897,205335.2196531792,3.9653179190751446
2019-03-08--2019-03-15,0.6821724137931036,0.6404540229885063,5.764367816091954,-6.215264367816094,0.5287356321839081,0.10642988505747125,0.23885897701149428,0.014052125344827584,0.1755109195402299,0.4678143678160919,117.33623563218391,204325.091954023,3.9827586206896552
2019-03-15--2019-03-22,0.6887965116279068,0.6386337209302327,5.726744186046512,-6.190604651162793,0.5406976744186046,0.1006343023255814,0.237165476744186,0.012531696744186045,0.17825639534883722,0.468703488372093,116.82704069767442,201266.58139534883,3.9825581395348837
2019-03-22--2019-03-29,0.6908352272727275,0.6435454545454548,5.818181818181818,-6.236426136363638,0.5,0.11189829545454551,0.27294120454545456,0.010590227784090911,0.17241818181818183,0.4719943181818181,117.22157954545463,201767.75568181818,3.960227272727273
2019-03-29--2019-04-05,0.6890057142857143,0.6136862857142861,5.8,-6.823468571428571,0.4857142857142857,0.12444971428571439,0.29938309714285716,0.019532758742857138,0.17702228571428572,0.46730914285714276,116.58823428571432,200688.94285714286,3.9485714285714284
2019-04-05--2019-04-12,0.7038258426966293,0.6113264044943818,5.623595505617978,-6.938820224719102,0.5168539325842697,0.13702247191011235,0.2778711095505619,0.01499156685393258,0.1749730337078652,0.4563977528089888,116.55470786516855,204342.6011235955,3.955056179775281
2019-04-12--2019-04-19,0.6918700564971753,0.6215881355932202,5.728813559322034,-7.098451977401128,0.4971751412429379,0.1264926553672317,0.279929220338983,0.019931862824858756,0.1741920903954802,0.445450847457627,116.23717514124297,207055.97740112993,3.9661016949152543
2019-04-19--2019-04-26,0.698780898876404,0.6315505617977526,5.612359550561798,-6.720089887640448,0.4943820224719101,0.12283595505617975,0.27120753932584263,0.015406117808988765,0.1719387640449438,0.4565943820224722,117.48639887640446,206798.94382022473,3.966292134831461
2019-04-26--2019-05-03,0.6900454545454545,0.6213920454545453,5.7272727272727275,-6.603073863636363,0.5397727272727273,0.11724431818181817,0.2769759772727271,0.011030553465909088,0.1709789772727273,0.4564346590909091,118.5425056818182,204886.35795454544,3.9488636363636362
2019-05-03--2019-05-10,0.6901546961325966,0.623171270718232,5.651933701657459,-6.669049723756907,0.5524861878453039,0.1145364640883978,0.27083597790055247,0.011853140055248616,0.1722022099447513,0.46714364640883976,118.37965745856351,205362.88397790055,3.9668508287292816
2019-05-10--2019-05-17,0.6836399999999999,0.6274514285714287,5.502857142857143,-6.630497142857143,0.5714285714285714,0.11390742857142858,0.2687193828571428,0.01165152097142857,0.17840914285714282,0.46930285714285713,118.21417714285722,201856.44,3.9714285714285715
2019-05-17--2019-05-24,0.6655921787709494,0.6420614525139666,5.4581005586592175,-6.511575418994416,0.547486033519553,0.11465027932960895,0.24900924804469268,0.014983888547486033,0.19198044692737423,0.459736312849162,117.92401675977656,203635.03910614524,3.977653631284916
2019-05-24--2019-05-31,0.677085714285714,0.6386285714285717,5.325714285714286,-6.536537142857146,0.5714285714285714,0.1122462857142857,0.2617492822857142,0.013941770399999996,0.1842491428571429,0.4751468571428572,118.01659428571426,203398.36571428573,3.9771428571428573
2019-05-31--2019-06-07,0.6838999999999997,0.6380647058823531,5.488235294117647,-6.505317647058823,0.5705882352941176,0.11105529411764704,0.2793015141176472,0.013637440941176473,0.17911411764705884,0.47344647058823497,119.29905882352945,202883.94705882354,3.976470588235294
2019-06-07--2019-06-14,0.6815471698113208,0.62574213836478,5.333333333333333,-6.557006289308172,0.5911949685534591,0.10361383647798734,0.288503128301887,0.00893690578616352,0.1762685534591196,0.4829553459119493,118.72155345911953,202127.03773584907,3.9622641509433962
2019-06-14--2019-06-21,0.6884605263157894,0.6335789473684215,5.1381578947368425,-6.346447368421053,0.5723684210526315,0.10986118421052626,0.28845393026315785,0.009780236973684207,0.17403289473684225,0.4761111842105261,118.86659868421056,199348.43421052632,3.9671052631578947
2019-06-21--2019-06-28,0.6972366863905325,0.6340532544378701,5.366863905325443,-6.4269704142011825,0.5621301775147929,0.1328952662721894,0.28308116804733735,0.011833088816568043,0.17843846153846155,0.47489289940828405,119.26189349112425,202162.78106508875,3.9763313609467454
2019-06-28--2019-07-05,0.6894404761904761,0.6464464285714284,5.2976190476190474,-6.239958333333334,0.5773809523809523,0.110847619047619,0.26179837738095235,0.012754166369047618,0.17470535714285723,0.48924642857142836,119.96208333333331,202612.42857142858,3.9761904761904763
2019-07-05--2019-07-12,0.6903975903614458,0.6493674698795178,4.993975903614458,-6.176819277108433,0.5783132530120482,0.10595421686746988,0.26316267710843383,0.013018843855421687,0.1818487951807229,0.48585783132530114,119.50180722891564,201863.3012048193,3.9759036144578315
2019-07-12--2019-07-19,0.6979356725146197,0.6473274853801168,5.099415204678363,-6.280549707602339,0.5847953216374269,0.11243508771929817,0.2595497040935673,0.01374558760233918,0.18176081871345032,0.49938245614035076,118.39642690058476,201371.26315789475,3.9766081871345027
2019-07-19--2019-07-26,0.6901775147928992,0.6540532544378695,5.047337278106509,-6.293230769230769,0.5680473372781065,0.1064917159763313,0.25005850532544366,0.016596180236686395,0.17709053254437873,0.5143218934911242,118.64403550295854,202355.91124260356,3.9881656804733727
2019-07-26--2019-08-02,0.6883053892215567,0.6552335329341316,5.005988023952096,-6.230544910179642,0.5688622754491018,0.10196946107784424,0.24959055628742516,0.017595782814371262,0.1700035928143713,0.5090922155688623,119.49011377245508,202318.95209580837,3.9880239520958085
2019-08-02--2019-08-09,0.6912771084337348,0.6531807228915659,5.102409638554217,-6.275090361445784,0.5662650602409639,0.10612048192771073,0.25498173132530116,0.016894459638554217,0.16926807228915675,0.507466265060241,118.7527469879518,201973.2108433735,3.9819277108433737
2019-08-09--2019-08-16,0.6928969696969698,0.6488060606060604,4.933333333333334,-6.252284848484851,0.5818181818181818,0.10711818181818172,0.2667943757575756,0.015680272484848486,0.1674733333333334,0.5091539393939392,118.86011515151512,201424.89696969697,3.981818181818182
2019-08-16--2019-08-23,0.6951077844311376,0.6417844311377247,4.8982035928143715,-6.390305389221557,0.5748502994011976,0.11167245508982032,0.27461917365269456,0.017213337784431144,0.17060538922155688,0.500822754491018,119.36047305389224,201941.3473053892,3.9820359281437128
2019-08-23--2019-08-30,0.695005882352941,0.6444529411764707,5.070588235294117,-6.319135294117648,0.5529411764705883,0.11883882352941166,0.272367011764706,0.016011606588235295,0.16664235294117646,0.5154611764705882,118.44887058823524,201032.11176470589,3.976470588235294
