week,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019-01-04--2019-01-11,0.6769450549450554,0.6268846153846154,5.7967032967032965,-7.138780219780221,0.38461538461538464,0.09843901098901099,0.2581462087912088,0.0319560781868132,0.173065934065934,0.46439560439560423,119.18115934065935,222253.9120879121,3.9725274725274726
2019-01-11--2019-01-18,0.6746500000000004,0.6316999999999999,5.855555555555555,-7.114200000000001,0.39444444444444443,0.10147444444444442,0.26613727777777785,0.03438822477777779,0.17487055555555553,0.4696944444444441,118.76212222222225,221483.43333333332,3.977777777777778
2019-01-18--2019-01-25,0.6757782122905032,0.635972067039106,5.804469273743017,-7.128536312849164,0.3854748603351955,0.10313184357541898,0.25200212290502794,0.0323952612290503,0.17362458100558656,0.46540782122905,116.89206703910621,219953.82122905029,3.983240223463687
2019-01-25--2019-02-01,0.6737127777777782,0.6307666666666665,5.9222222222222225,-7.179494444444447,0.39444444444444443,0.10455166666666668,0.25851155555555555,0.03447799194444445,0.17723388888888894,0.4649383333333332,117.40127777777782,218811.27222222224,4.0
2019-02-01--2019-02-08,0.6716106145251398,0.6408715083798885,5.810055865921788,-7.150871508379892,0.37988826815642457,0.1093178770949721,0.2755367039106146,0.0312755776536313,0.1834519553072626,0.4634016759776533,120.05777094972063,221178.20111731844,3.994413407821229
2019-02-08--2019-02-15,0.671988950276243,0.6252265193370168,5.7292817679558015,-7.195933701657462,0.3756906077348066,0.10219723756906084,0.2874441436464089,0.032012712596685096,0.18126629834254146,0.4574475138121543,120.65708839779006,221315.13259668509,3.983425414364641
2019-02-15--2019-02-22,0.684978260869565,0.6369836956521739,5.782608695652174,-7.026467391304352,0.3695652173913043,0.10721902173913044,0.2726428260869566,0.030669510652173916,0.1755929347826088,0.45660869565217366,121.58856521739129,219697.5652173913,3.989130434782609
2019-02-22--2019-03-01,0.6810828729281768,0.63121546961326,5.834254143646409,-7.15275690607735,0.36464088397790057,0.10764033149171273,0.2842,0.03169415668508288,0.1745121546961326,0.4513038674033146,121.55607182320443,218478.72375690608,3.9889502762430937
2019-03-01--2019-03-08,0.6771049723756906,0.6197237569060775,5.806629834254144,-7.17214917127072,0.3701657458563536,0.1090878453038674,0.2953208839779006,0.03169566817679558,0.17309558011049728,0.45222651933701613,121.29340331491714,218103.97790055248,3.994475138121547
2019-03-08--2019-03-15,0.6763743016759777,0.6162402234636875,5.865921787709497,-7.248659217877092,0.36312849162011174,0.10536480446927374,0.29685078212290505,0.032080784692737424,0.17342737430167604,0.45464245810055837,120.52539664804469,217008.26815642457,3.994413407821229
2019-03-15--2019-03-22,0.6749157303370786,0.6178202247191015,5.831460674157303,-7.2924494382022464,0.3651685393258427,0.10609269662921347,0.2973983707865168,0.030384771573033695,0.17060617977528106,0.46432022471910095,121.22459550561804,217367.77528089887,3.9887640449438204
2019-03-22--2019-03-29,0.6723944444444445,0.6204555555555559,5.738888888888889,-7.2821500000000015,0.37222222222222223,0.10410111111111109,0.2958755555555557,0.030082282888888864,0.17537888888888903,0.45542777777777754,120.83281666666673,217748.48888888888,3.9944444444444445
2019-03-29--2019-04-05,0.6670748663101604,0.5989951871657756,5.74331550802139,-7.737614973262032,0.3850267379679144,0.11045828877005344,0.3201110695187167,0.035001849251336876,0.1800208556149734,0.44815401069518684,121.34671657754018,218211.82887700535,3.978609625668449
2019-04-05--2019-04-12,0.6691016042780746,0.617192513368984,5.807486631016043,-7.501427807486631,0.3689839572192513,0.11123368983957213,0.30140786096256683,0.030958925347593563,0.18034598930481294,0.4691438502673795,121.09677005347591,218077.42780748665,3.9946524064171123
2019-04-12--2019-04-19,0.6657340425531915,0.6159255319148934,6.074468085106383,-7.55207978723404,0.3617021276595745,0.11380319148936167,0.30556367021276587,0.03573225292553191,0.18251063829787234,0.47128936170212765,122.4345531914893,221280.97872340426,3.9893617021276597
2019-04-19--2019-04-26,0.6662872340425531,0.6182287234042553,5.952127659574468,-7.5446755319148915,0.35638297872340424,0.11201755319148933,0.3013659042553191,0.034797184361702115,0.18134414893617032,0.47952180851063825,123.13963829787237,221475.74468085106,3.99468085106383
2019-04-26--2019-05-03,0.6712393617021276,0.6206329787234042,5.781914893617022,-7.517531914893613,0.3829787234042553,0.11196223404255318,0.2895738829787235,0.03446138063829785,0.18172287234042564,0.47834095744680843,122.29684042553191,220129.43085106384,4.0
2019-05-03--2019-05-10,0.6730913978494624,0.6244301075268816,5.758064516129032,-7.481973118279568,0.3870967741935484,0.11544247311827957,0.28486103279569897,0.03491817247311828,0.18769032258064525,0.47804354838709656,122.44320967741936,218383.70430107528,4.005376344086022
2019-05-10--2019-05-17,0.6729021739130435,0.6224456521739131,5.711956521739131,-7.558184782608692,0.375,0.11454836956521738,0.292183097826087,0.034909405543478246,0.18484565217391305,0.4748048913043476,122.22657065217392,218903.13586956522,4.0
2019-05-17--2019-05-24,0.6760860215053762,0.6187956989247311,5.639784946236559,-7.553301075268815,0.3655913978494624,0.11088440860215053,0.29725056666666655,0.03648351231182794,0.1795043010752688,0.4700220430107527,121.96967204301076,217739.86021505378,3.989247311827957
2019-05-24--2019-05-31,0.6812245989304812,0.6283903743315509,5.540106951871658,-7.409497326203205,0.32085561497326204,0.10606096256684491,0.28248433155080205,0.029742170106951852,0.1793427807486631,0.46286149732620313,122.17068983957216,215760.08021390374,3.9893048128342246
2019-05-31--2019-06-07,0.6822553191489362,0.633404255319149,5.601063829787234,-7.327361702127655,0.3617021276595745,0.11049734042553194,0.27317398936170195,0.0299724564361702,0.1814191489361702,0.4622824468085104,123.21113297872338,216695.88829787233,3.99468085106383
2019-06-07--2019-06-14,0.6898042328042328,0.6316772486772487,5.650793650793651,-7.394396825396824,0.3544973544973545,0.10923174603174605,0.27685470899470893,0.034441907724867715,0.18314656084656084,0.4727412698412697,122.21147089947091,216039.51322751323,3.994708994708995
2019-06-14--2019-06-21,0.6876243386243386,0.6252592592592593,5.8201058201058204,-7.467804232804228,0.37037037037037035,0.11838677248677247,0.2762741798941799,0.029371900264550246,0.17230264550264557,0.47518042328042337,121.93956084656085,217121.80423280422,3.9894179894179893
2019-06-21--2019-06-28,0.6949625668449197,0.629470588235294,5.81283422459893,-7.331791443850261,0.37433155080213903,0.11524866310160424,0.27681406417112303,0.03253690497326202,0.1737909090909092,0.472379679144385,121.61820855614981,216587.66844919787,3.9893048128342246
2019-06-28--2019-07-05,0.6962282608695652,0.6334891304347826,5.630434782608695,-7.2801304347826035,0.375,0.1202733695652174,0.2697708152173912,0.031921827826086956,0.17001032608695663,0.4762989130434782,123.09906521739131,217570.69565217392,3.989130434782609
2019-07-05--2019-07-12,0.6930860215053761,0.6335053763440861,5.537634408602151,-7.311908602150535,0.3602150537634409,0.11490913978494625,0.27229951612903214,0.0316775402688172,0.17357741935483884,0.4715967741935483,123.99919892473117,215389.5752688172,3.989247311827957
2019-07-12--2019-07-19,0.6903280423280421,0.6227566137566138,5.71957671957672,-7.413296296296294,0.37037037037037035,0.11660793650793654,0.272385238095238,0.03211319502645501,0.17296878306878324,0.4799100529100528,124.09053439153436,215177.43386243386,3.994708994708995
2019-07-19--2019-07-26,0.6886951871657753,0.6283262032085561,5.823529411764706,-7.401700534759358,0.3689839572192513,0.11951016042780757,0.27562887700534755,0.03235209106951872,0.1664604278074868,0.4734438502673794,122.46248663101605,218088.99465240643,4.0
2019-07-26--2019-08-02,0.6898882978723402,0.6362499999999999,5.819148936170213,-7.373345744680853,0.3670212765957447,0.12158085106382978,0.2761154255319149,0.031212695159574467,0.16385159574468094,0.4807819148936168,122.33016489361702,217778.68617021278,4.00531914893617
2019-08-02--2019-08-09,0.6821229946524063,0.6326363636363634,5.866310160427807,-7.397342245989309,0.3422459893048128,0.1186775401069518,0.27906577540106964,0.0313832988235294,0.16290267379679155,0.4846898395721925,122.65035828877005,219568.10695187165,4.005347593582887
2019-08-09--2019-08-16,0.6818743169398908,0.6361038251366116,5.901639344262295,-7.343360655737705,0.3551912568306011,0.11369672131147532,0.28067054644808753,0.03125558644808742,0.16574918032786892,0.4868907103825136,122.08544808743169,220393.9344262295,4.005464480874317
2019-08-16--2019-08-23,0.6807759562841531,0.6357759562841526,5.852459016393443,-7.366125683060113,0.3770491803278688,0.1150409836065573,0.2804260655737706,0.03125074814207648,0.16044371584699463,0.4899726775956285,121.71806010928962,219799.3661202186,4.005464480874317
2019-08-23--2019-08-30,0.6820432432432434,0.6362270270270266,5.891891891891892,-7.3318972972972976,0.3891891891891892,0.1169832432432432,0.2723749729729729,0.030962880594594587,0.16022270270270278,0.47891891891891913,122.19858918918924,220259.04324324324,4.0
2019-08-30--2019-09-06,0.6831055555555555,0.6294166666666662,5.911111111111111,-7.46072777777778,0.38333333333333336,0.11564833333333326,0.28047872222222225,0.03185412488888888,0.1656850000000001,0.47997777777777795,122.04528888888892,220412.7,3.9944444444444445
2019-09-06--2019-09-13,0.6807900552486188,0.624027624309392,5.889502762430939,-7.512574585635362,0.3756906077348066,0.11262596685082868,0.28256436464088397,0.03543314016574583,0.17157292817679573,0.4696298342541435,121.61617127071824,220771.6408839779,3.9889502762430937
2019-09-13--2019-09-20,0.6776555555555559,0.6173444444444441,5.605555555555555,-7.469288888888888,0.38333333333333336,0.10275055555555553,0.2818197222222222,0.03947521705555553,0.1656666666666667,0.4680999999999999,121.8996944444445,219446.77777777778,3.9944444444444445
2019-09-20--2019-09-27,0.6808500000000003,0.6118388888888888,5.794444444444444,-7.659933333333333,0.3611111111111111,0.10991499999999994,0.28709499999999993,0.03933999738888887,0.16553888888888893,0.46396666666666675,121.35619444444451,220148.16666666666,3.988888888888889
2019-09-27--2019-10-04,0.6799285714285717,0.6155219780219777,5.714285714285714,-7.614445054945057,0.3791208791208791,0.1079945054945054,0.2944638461538461,0.03905435802197799,0.16453351648351655,0.4616373626373627,121.32800549450562,219653.510989011,3.9945054945054945
2019-10-04--2019-10-11,0.6763736263736266,0.60693956043956,5.670329670329671,-7.6647472527472535,0.38461538461538464,0.10615054945054939,0.2961840659340659,0.03890473499999998,0.1613043956043957,0.4486307692307695,120.78021978021987,219676.5,3.9835164835164836
2019-10-11--2019-10-18,0.6788287292817682,0.6108839779005522,5.5911602209944755,-7.635265193370164,0.39226519337016574,0.10580110497237565,0.3009869613259669,0.03912083486187844,0.15875193370165752,0.45488342541436455,121.38476243093935,218923.53038674034,3.983425414364641
2019-10-18--2019-10-25,0.6792111111111112,0.6117277777777775,5.666666666666667,-7.589472222222223,0.39444444444444443,0.10671222222222217,0.29602400000000006,0.039479778777777766,0.1580533333333334,0.4526655555555555,122.35085000000007,219228.11111111112,3.9833333333333334
2019-10-25--2019-11-01,0.6801602209944752,0.6094640883977899,5.585635359116022,-7.658756906077346,0.39226519337016574,0.10820883977900536,0.2966756243093922,0.03996209066298342,0.1534309392265194,0.4493745856353589,122.14396685082883,218488.0055248619,3.994475138121547
2019-11-01--2019-11-08,0.6782681564245808,0.6040279329608936,5.692737430167598,-7.673687150837987,0.3854748603351955,0.10313854748603346,0.29666402234636874,0.04164815005586592,0.15528044692737436,0.43331731843575405,122.57027374301678,219853.97765363127,3.994413407821229
2019-11-08--2019-11-15,0.6831555555555556,0.615483333333333,5.766666666666667,-7.621172222222218,0.37777777777777777,0.11156000000000002,0.2987425555555555,0.044559908333333335,0.15446722222222226,0.4496661111111111,121.33573333333338,217700.32777777777,3.9944444444444445
2019-11-15--2019-11-22,0.6926263736263737,0.6098846153846155,5.763736263736264,-7.629247252747252,0.38461538461538464,0.11776923076923083,0.2973073626373626,0.039384552637362645,0.15226538461538472,0.45097802197802184,123.713467032967,214070.22527472526,4.0054945054945055
2019-11-22--2019-11-29,0.6820388888888889,0.599094444444444,5.644444444444445,-7.826205555555559,0.38333333333333336,0.1147755555555556,0.3029829444444444,0.049152829333333356,0.1553355555555557,0.44248833333333315,123.08378888888895,218139.35,4.0055555555555555
2019-11-29--2019-12-06,0.6818611111111109,0.6074111111111108,5.694444444444445,-7.683066666666667,0.39444444444444443,0.1134605555555556,0.292090611111111,0.048445464277777794,0.15572444444444455,0.4429533333333331,123.48616111111116,222206.44444444444,4.011111111111111
2019-12-06--2019-12-13,0.6776961325966849,0.6023480662983424,5.712707182320442,-7.7737127071823195,0.3756906077348066,0.11238839779005527,0.3072008287292818,0.04706569254143647,0.15346629834254147,0.44116353591160223,122.57219889502773,220537.03867403316,4.005524861878453
2019-12-13--2019-12-20,0.6829171270718231,0.6059944751381213,5.917127071823204,-7.728983425414362,0.3756906077348066,0.11658453038674041,0.29310303867403315,0.04271690961325968,0.14677513812154702,0.44795359116022065,123.84450276243106,218919.4143646409,3.977900552486188
