,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",165349,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,BICHOTA,"KAROL G",110273,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
3,"LA NOCHE DE ANOCHE","Bad Bunny",108541,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,"TE MUDASTE","Bad Bunny",85169,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
5,Reloj,"Rauw Alejandro",70072,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
6,Hawái,Maluma,69667,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
7,"La Tóxica",Farruko,66762,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
8,"Hecha Pa' Mi",Boza,63128,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
9,"La Curiosidad","Jay Wheeler",62535,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
10,Bandido,"Myke Towers",58319,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
11,"La Nota","Manuel Turizo",57711,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
12,"BOOKER T","Bad Bunny",56723,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
13,"Mi Niña",Wisin,56309,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
14,"Chica Ideal","Sebastian Yatra",54201,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
15,"HACIENDO QUE ME AMAS","Bad Bunny",52665,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
16,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",51761,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
17,"Ay, DiOs Mío!","KAROL G",48554,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
18,Jeans,"Justin Quiles",48381,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
19,BEBÉ,Camilo,48281,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
20,"Relación - Remix",Sech,47927,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
21,"La Jeepeta - Remix","Nio Garcia",46716,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
22,"Una Locura",Ozuna,45204,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
23,"Vida de Rico",Camilo,43122,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
24,"CÓMO SE SIENTE - Remix","Jhay Cortez",41015,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
25,"Se Te Nota (with Guaynaa)","Lele Pons",40861,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
26,"Tattoo - Remix with Camilo","Rauw Alejandro",39206,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
27,"Parce (feat. Justin Quiles)",Maluma,38858,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
28,"Aquí Abajo","Christian Nodal",38499,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
29,"Mi Cuarto","Jerry Di",37832,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
30,"YO VISTO ASÍ","Bad Bunny",37607,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
31,"Dime Cómo Quieres","Christian Nodal",36430,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
32,"Blinding Lights","The Weeknd",35494,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,Despeinada,Ozuna,35236,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
34,"SORRY PAPI","Bad Bunny",34819,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
35,"HOY COBRÉ","Bad Bunny",34352,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
36,"TE DESEO LO MEJOR","Bad Bunny",34057,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
37,Polvo,"Nicky Jam",33603,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
38,"ANTES QUE SE ACABE","Bad Bunny",33092,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
39,"Pa' Olvidarme De Ella","Piso 21",31788,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
40,Caramelo,Ozuna,31710,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
41,120,"Bad Bunny",31648,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
