,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Best Friend (feat. Doja Cat)",Saweetie,1503,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
56,34+35,"Ariana Grande",1486,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
57,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1474,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
58,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1467,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
59,"Star Shopping","Lil Peep",1466,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
60,"Моя голова винтом (My head is spinning like a screw)",kostromin,1461,https://open.spotify.com/track/4KrhaZm4JRkNO4HRdLvJIG
61,"What You Know Bout Love","Pop Smoke",1452,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
62,Goosebumps,HVME,1449,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
63,"Do I Wanna Know?","Arctic Monkeys",1422,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
64,"A Lyga",Angelou,1385,https://open.spotify.com/track/6kD8R4UEqxLjjnQzTEnmZg
65,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1368,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
66,"Burning Pile","Mother Mother",1361,https://open.spotify.com/track/0zMAvsQmaQ4DGsmXtKixpn
67,"Ride It",Regard,1360,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
68,Dynamite,BTS,1353,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
69,Anyone,"Justin Bieber",1344,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
70,Jealous,Eyedress,1341,https://open.spotify.com/track/5KbTBSGUvgDg75gIVhUaAW
71,"TIESIOG NEGALIÚ","OG Version",1328,https://open.spotify.com/track/6evDsE1JN4CqOTuRgV3GqY
72,Rožė,"Jessica Shy",1324,https://open.spotify.com/track/4F2JsHduN1Ow8CkyxsnLh1
73,HOLIDAY,"Lil Nas X",1319,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
74,Violent,carolesdaughter,1316,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
75,"Your New Boyfriend","Wilbur Soot",1302,https://open.spotify.com/track/4vLBnQtece15fFhqWxZvJP
76,"Someone You Loved","Lewis Capaldi",1299,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
77,"Adore You","Harry Styles",1294,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
78,Savęs,"Justinas Jarutis",1291,https://open.spotify.com/track/0R6ikR6rBn1x5a80dkXfLN
79,Hypnotized,"Purple Disco Machine",1281,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
80,YES,"OG Version",1263,https://open.spotify.com/track/3SzwwAXlgx8CBinQpVf63F
81,"Take You Dancing","Jason Derulo",1252,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
82,"GIRL LIKE ME","Black Eyed Peas",1250,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
83,"In Your Eyes","The Weeknd",1238,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
84,"YEAH RIGHT",Joji,1234,https://open.spotify.com/track/1VGzxJnVQND7Cg5H5wGj14
85,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1223,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
86,NUSIJUOKSIU,"Gabrielė Vilkickytė",1206,https://open.spotify.com/track/6MRJVu2Js3nyGxTCLKFXDq
87,Pasilepink,"QV Trap",1196,https://open.spotify.com/track/6aWx3uapUYujHeAyYOKULl
88,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1193,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
89,"Where'd You Wanna Go?",Gebrasy,1189,https://open.spotify.com/track/6IurzPETVYPwqt0mOFya5T
90,"Lose Control",MEDUZA,1176,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
91,Lovefool,twocolors,1164,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
92,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1163,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
93,"On My Mind",Diplo,1160,https://open.spotify.com/track/5hmcw6bW5V24CvJqsz87We
94,"HIGHEST IN THE ROOM","Travis Scott",1152,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
