,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"We Are Gonna Live","Ina Wroldsen",19599,https://open.spotify.com/track/3KFlDdTd8agmAPAG87fNWv
57,Raggarbil,Albatraoz,17813,https://open.spotify.com/track/5Gltinn48NXDSsIwCuIRmK
58,"tystnar i luren","Miriam Bryant",17675,https://open.spotify.com/track/4dxeRrYgeAQ1F0uH9g04lN
59,"Head & Heart (feat. MNEK)","Joel Corry",17590,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
60,Bruises,"Lewis Capaldi",17495,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
61,"Selfish Love (with Selena Gomez)","DJ Snake",17401,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
62,"Latest Trends","A1 x J1",17034,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
63,"Only Wanna Be With You - Pokémon 25 Version","Post Malone",16820,https://open.spotify.com/track/3SawmGBjjq8EOYZJV11cJm
64,"What You Know Bout Love","Pop Smoke",16663,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
65,telepatía,"Kali Uchis",16562,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
66,Elevate,"Stina Talling",16558,https://open.spotify.com/track/7DAQL4dj7J2UAGoCn1pyDk
67,Goosebumps,HVME,16328,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
68,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,16115,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
69,Streets,"Doja Cat",16021,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
70,"If the World Was Ending - feat. Julia Michaels","JP Saxe",15989,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
71,"BlimE! - Ser Deg","Victor Sotberg",15986,https://open.spotify.com/track/5Du3rnveQft7usQHGOr1yq
72,"Heat Waves","Glass Animals",15981,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
73,"Love Again (feat. Alida)",Alok,15639,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
74,"Dear God",Ruben,15592,https://open.spotify.com/track/0SDZIfwGmTWP5emacUo6zG
75,Min,Hkeem,15397,https://open.spotify.com/track/1dVkv7pcgRe0ASHtg4qm4e
76,"Remember That Night?","Sara Kays",15306,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
77,Up,"Cardi B",15301,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
78,"Rise Up (feat. Vamero)",VINAI,15215,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
79,Serotonin,"girl in red",15092,https://open.spotify.com/track/1q2Zb0v5ZGxKDktEz7wSPb
80,"Dance Monkey","Tones And I",15069,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
81,BED,"Joel Corry",15018,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
82,"Karl Johan",Ringnes-Ronny,14974,https://open.spotify.com/track/46v4XAUfknD2BTqZQ60YAX
83,"Therefore I Am","Billie Eilish",14896,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
84,"Heartbreak Anniversary",Giveon,14568,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
85,"Fly Away","Tones And I",14531,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
86,Fly,"Hver gang vi møtes",14349,https://open.spotify.com/track/3WQ5706YzGJvbSfLqU0rzm
87,"Roses - Imanbek Remix","SAINt JHN",14282,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
88,Valhalla,Ringnes-Ronny,14216,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
89,"Paradise (feat. Dermot Kennedy)",MEDUZA,14215,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
90,"Igjen Og Igjen (feat. TIX)","El Papi",14021,https://open.spotify.com/track/4twPIcFhR0270afJADX60L
91,Medicine,"James Arthur",13855,https://open.spotify.com/track/7CHNIK6EGjnwpWkSpx6JZe
92,DANCE,CLMD,13838,https://open.spotify.com/track/6EJSIote7EJm4FnrysmYzt
93,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,13702,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
94,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,13533,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
95,"Kaller På Deg",TIX,13489,https://open.spotify.com/track/0lnksmEu1sa7t16YwhIP10
96,"lovely (with Khalid)","Billie Eilish",13440,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
97,"I'm not Pretty",JESSIA,13407,https://open.spotify.com/track/3promGTTwsn1N5D6RzaFMV
98,"Alt det der (feat. Lars-Erik Blokkhus & Dag Ingebrigtsen)","Landeveiens Helter",13391,https://open.spotify.com/track/255CixwgWFfqHB1liw1LPE
99,"when the party's over","Billie Eilish",13346,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
100,Shallow,"Lady Gaga",13316,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
101,"Need Someone","Zara Larsson",13222,https://open.spotify.com/track/0e6HwIMqkDwr80TmH1mdt3
102,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",13174,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
103,"Martin & Gina","Polo G",13174,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
104,SugarCrash!,ElyOtto,13092,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
105,"Prisoner (feat. Dua Lipa)","Miley Cyrus",12957,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
106,"Mama Don't Know",Ruben,12941,https://open.spotify.com/track/6X6L33WWRTftqvQHkyVvaN
107,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",12809,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
108,"Be Alright","Dean Lewis",12674,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
109,"Let Loose",Blåsemafian,12626,https://open.spotify.com/track/3IXmBz1iS0diSOsbPg7Zw0
110,positions,"Ariana Grande",12523,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
111,"Another Love","Tom Odell",12506,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
112,"Født til å ragge",Hagle,12464,https://open.spotify.com/track/45GmUDEid9EZ6YA4nFjY0f
113,"Hold Me While You Wait","Lewis Capaldi",12445,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
114,"fools (can't help falling in love) (feat. Sody)",Foster,12438,https://open.spotify.com/track/4VEEDnEFLI9dUy5QA51rom
115,"Nå Koser Vi Oss",TIX,12366,https://open.spotify.com/track/6bZHVGx3Qj0zoUUSZjextf
116,"Savage Love (Laxed - Siren Beat)","Jawsh 685",12305,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
117,"Jeg vil ikke se deg med han","Hver gang vi møtes",12227,https://open.spotify.com/track/5PYtd1g0UkEVELtaAGspyF
118,"Somebody - Acoustic",Dagny,12212,https://open.spotify.com/track/0nWFVoAELIeNcPikBntCJi
119,Fri,"Stig Brenner",12204,https://open.spotify.com/track/643pOINTU12c6EaiMLd9Bf
120,"Breaking Me",Topic,12085,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
121,slower,"Tate McRae",12033,https://open.spotify.com/track/1bd4heB3yXc5iFTPoOMPuo
122,"VI SKA BLI FULLA",Ringnes-Ronny,12030,https://open.spotify.com/track/37EyJVC84SzAVpSf3h4792
123,"Watermelon Sugar","Harry Styles",11985,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
124,"Happiest Year","Jaymes Young",11954,https://open.spotify.com/track/5kcvBnt6DPX3AMEsCx1qDh
125,"Wellerman - Sea Shanty","Nathan Evans",11944,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
126,"Bella Hadid","Adrian Sellevoll",11920,https://open.spotify.com/track/40YDRrbNGQHLS3hfqlor59
127,"Sykepleierinnen (Sykehuset 2020)","El Papi",11855,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
128,Karantene,TIX,11792,https://open.spotify.com/track/6sMMfGxa9tB59dMEjEJ4nC
129,"The Night We Met","Lord Huron",11617,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
130,"Little Bit of Love","Tom Grennan",11615,https://open.spotify.com/track/78q4ESvMkPVJzHAV11LAGE
131,"Fix You","Maria Petra",11566,https://open.spotify.com/track/1B0pUaVq1yQ3KZBt7mcSjh
132,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",11512,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
