,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Mad at Disney","salem ilese",11565,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
58,Weak,"Larissa Lambert",11524,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
59,"Fallin’ (Adrenaline)","Why Don't We",11198,https://open.spotify.com/track/6nfqlFOMiWthaOEa53uU0v
60,"It's You","Ali Gatie",11136,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
61,Maniac,"Conan Gray",10926,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
62,Snowman,Sia,10866,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
63,"Just the Way You Are","Bruno Mars",10828,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
64,Lara,"Hael Husaini",10816,https://open.spotify.com/track/3UQ8YTl0tr1cKxGXGiWwMs
65,Penat,"Andi Bernadee",10801,https://open.spotify.com/track/4z5W8NLlyXD7tpZ3LbCRYD
66,"Train Wreck","James Arthur",10673,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
67,CIAO,"Joe Flizzow",10673,https://open.spotify.com/track/19fRMLJnGAhrJ3IS5mvegr
68,"Hadal Ahbek","Issam Alnajjar",10665,https://open.spotify.com/track/0UdZzUSOLhqIFCU7wHWkgp
69,comethru,"Jeremy Zucker",10572,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
70,Overdrive,"Conan Gray",10503,https://open.spotify.com/track/3QyoC6OvQUmpQwQZ18iaTs
71,Skin,"Sabrina Carpenter",10501,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
72,"lovely (with Khalid)","Billie Eilish",10448,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Señorita,"Shawn Mendes",10446,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
74,"Be Alright","Dean Lewis",10105,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
75,"I Like Me Better",Lauv,10056,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
76,Psycho,"Red Velvet",10001,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
77,"Hurts So Good","Astrid S",10000,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
78,"Intentions (feat. Quavo)","Justin Bieber",9985,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
79,"Without Me",Halsey,9897,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
80,"Aku Bidadari Syurgamu","Dato' Sri Siti Nurhaliza",9853,https://open.spotify.com/track/3QmjcVOuzR1d0FWf7MzciM
81,"Makna Cinta","Rizky Febian",9694,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
82,"death bed (coffee for your head)",Powfu,9679,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
